file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\javatests\com\google\devtools\moe\client\tools\FileDifferenceTest.java,com.google.devtools.moe.client.tools.FileDifferenceTest$Component,interface,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\java\com\google\devtools\moe\client\dvcs\git\GitClonedRepository.java,com.google.devtools.moe.client.dvcs.git.GitClonedRepository,class,15,26,11,15,16,1,0,25,0,0.61904764,0.0,0.0,9,0,6,0,0,3,9,0,0,0,7,1,0,6,0,1,4,0,16,85,5,0,0,3,0,31,0,16,6,13,2,0,0,0,119,1,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\java\com\google\devtools\moe\client\testing\RecordingUi.java,com.google.devtools.moe.client.testing.RecordingUi,class,2,17,15,2,4,3,0,3,2,0.5833333,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0,5,0,3,0,0,1,0,20,1,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\java\com\google\devtools\moe\client\Flags.java,com.google.devtools.moe.client.Flags,class,4,5,1,4,9,1,0,15,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,6,41,1,1,0,1,0,3,5,10,0,9,3,0,0,0,40,1,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\javatests\com\google\devtools\moe\client\directives\OneMigrationDirectiveTest.java,com.google.devtools.moe.client.directives.OneMigrationDirectiveTest,class,7,7,0,7,6,3,0,10,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,7,44,0,0,0,2,1,22,1,17,1,7,1,0,0,0,45,1,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\javatests\com\google\devtools\moe\client\database\EquivalenceMatcherTest.java,com.google.devtools.moe.client.database.EquivalenceMatcherTest,class,11,11,0,11,4,3,0,15,0,0.44444445,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,1,0,9,28,0,0,0,1,0,23,1,8,1,8,1,0,0,0,37,1,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\javatests\com\google\devtools\moe\client\dvcs\AbstractDvcsCodebaseCreatorTest.java,com.google.devtools.moe.client.dvcs.AbstractDvcsCodebaseCreatorTest$Component,interface,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\java\com\google\devtools\moe\client\project\ScrubberConfig.java,com.google.devtools.moe.client.project.ScrubberConfig,class,10,17,7,10,14,1,0,12,6,0.9596774,NaN,NaN,4,0,1,3,0,0,1,0,0,0,31,0,0,31,0,0,4,0,2,71,4,2,3,1,0,34,0,6,2,32,3,0,0,0,85,1,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\java\com\google\devtools\moe\client\project\StepConfig.java,com.google.devtools.moe.client.project.StepConfig,class,3,6,3,3,4,1,0,3,2,0.5,0.0,0.0,4,0,2,1,0,1,3,0,0,0,2,0,0,2,0,0,0,0,2,17,2,0,0,0,0,3,0,0,0,2,0,0,0,0,18,1,0
C:\opt\GraphEvoPRV4\projects\MOE\moe-2-9\google-MOE-7edd121\java\com\google\devtools\moe\client\tasks\Task.java,com.google.devtools.moe.client.tasks.Task$Explanation,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,17,9,0
