file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\translator\metaobject\clazz\MetaObjectClass.java,com.google.classyshark.translator.metaobject.clazz.MetaObjectClass,class,13,16,3,13,42,1,0,68,100,0.47619048,0.0,0.0,21,5,16,5,0,0,16,0,0,0,1,0,0,1,0,0,0,0,11,203,20,9,8,0,0,21,9,77,10,52,3,0,0,0,83,1,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\translator\metaobject\MetaObject.java,com.google.classyshark.translator.metaobject.MetaObject$ConstructorInfo,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea$DisplayDataState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\translator\Translator.java,com.google.classyshark.translator.Translator$ELEMENT,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,12,0,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\ui\ClassySharkFrame.java,com.google.classyshark.ui.ClassySharkFrame$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,class,7,11,4,7,33,1,0,40,0,0.53571427,0.0,0.0,14,2,11,3,0,0,11,0,0,0,4,0,0,4,0,0,1,0,26,246,5,4,5,8,1,15,12,34,6,23,3,1,1,0,97,1,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\translator\metaobject\dex\MetaObjectDex.java,com.google.classyshark.translator.metaobject.dex.MetaObjectDex,class,17,19,2,17,23,1,0,47,33,0.4,0.0,0.0,15,2,12,3,0,0,12,0,0,0,1,0,0,1,0,0,1,0,11,112,13,6,0,0,0,6,1,41,1,25,2,0,0,0,56,1,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\ui\ClassySharkFrame.java,com.google.classyshark.ui.ClassySharkFrame,class,2,4,2,2,3,6,0,10,3,0.6666667,NaN,NaN,3,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,37,0,0,0,0,0,0,2,1,0,1,0,1,1,0,38,1,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\Scenarios\src\com\google\classyshark\scenarios\AppDriver.java,com.google.classyshark.scenarios.AppDriver,class,1,2,1,1,3,1,0,2,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,1,2,2,1,2,1,1,0,0,15,1,0
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-1-4\google-android-classyshark-5fbea22\ClassySharkWS\src\com\google\classyshark\translator\Translator.java,com.google.classyshark.translator.Translator,interface,1,11,10,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,1,0
