class_name,new,portrait
addKeyListenerToTypingArea,0,0.0
com.google.classyshark.reducer.ArchiveReader.ByteArrayClassLoader,0,0.0022
com.google.classyshark.reducer.ArchiveReader,0,0.0022
com.google.classyshark.reducer.Reducer.FormatStrategy,0,0.0
com.google.classyshark.reducer.Reducer,0,0.0019
com.google.classyshark.scenarios.AppDriver.Anonymous-baa19ba1-2164-4927-b333-9a64fc53b0a1,1,
com.google.classyshark.scenarios.AppDriver,0,0.0024
com.google.classyshark.scenarios.FancyLibrary,0,0.0044
com.google.classyshark.translator.java.clazz.asm.ClassBytesFromJarExtractor,0,0.0
com.google.classyshark.translator.java.clazz.asm.ClassDetailsFiller,0,0.002
com.google.classyshark.translator.java.clazz.asm.MetaObjectAsmClass,0,0.0018
com.google.classyshark.translator.java.clazz.reflect.ClassLoadingUtils,0,0.0
com.google.classyshark.translator.java.clazz.reflect.MetaObjectClass,0,0.0021
com.google.classyshark.translator.java.clazz.TypesToNamesMapper,0,0.0043
com.google.classyshark.translator.java.dex.DexlibAdapter,0,0.0018
com.google.classyshark.translator.java.dex.MetaObjectDex,0,0.0022
com.google.classyshark.translator.java.MetaObject,0,0.0021
com.google.classyshark.translator.java.MetaObjectFactory,0,0.0
com.google.classyshark.translator.java.Translator2Java,0,0.0021
com.google.classyshark.translator.Translator,0,0.0
com.google.classyshark.translator.TranslatorFactory,0,0.0
com.google.classyshark.translator.xml.Translator2AndroidXml,0,0.004
com.google.classyshark.translator.xml.XmlDecompressor,0,0.0
com.google.classyshark.translator.xml.XmlHighlighter.Element,0,0.0
com.google.classyshark.translator.xml.XmlHighlighter,0,0.0044
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-1ef46bc3-32a0-4a0d-bb52-1f590cad5cca,1,
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-2aa5106d-7dcd-4416-83bf-cfbfe7d5e79e,1,
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-4bf960ba-df0e-4382-b154-0c793da0fc87,1,
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-581cb92d-fbe4-4395-b3f2-2318f43dd527,1,
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-7c3fae1f-daaa-4cde-99b9-54504be03035,1,
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-a0e11da2-8dc2-4319-99c3-c2e110d9a909,1,
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-be9fbf66-c9f5-444a-a024-beb7bebc8f88,1,
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-d2533c92-6181-4137-a099-0108672b1547,1,
com.google.classyshark.ui.ExperimentalBlackFrame.Anonymous-f06accbb-f76e-4d4e-89f7-cf8f18a46042,1,
com.google.classyshark.ui.ExperimentalBlackFrame,0,0.0
com.google.classyshark.ui.Main.Anonymous-f5e49384-39dc-4abe-998c-754587733f2b,1,
com.google.classyshark.ui.Main,0,0.1772
com.google.classyshark.ui.tabs.ClassySharkTabsFrame.Anonymous-b323f4d3-242a-466c-8509-4ba13972d88d,1,
com.google.classyshark.ui.tabs.ClassySharkTabsFrame,0,0.0005
com.google.classyshark.ui.tabs.TabsBuilder,0,0.0
com.google.classyshark.ui.viewer.ClassySharkPanel.Anonymous-0c41bc4e-fa8b-4ce8-b230-f5986f27cecd,1,
com.google.classyshark.ui.viewer.ClassySharkPanel.Anonymous-0f798648-c016-41ba-8fee-e97076113c27,1,
com.google.classyshark.ui.viewer.ClassySharkPanel.Anonymous-2d3d0885-5c4a-4f91-b1f8-c116b2608efd,1,
com.google.classyshark.ui.viewer.ClassySharkPanel.Anonymous-682fa93a-e153-4553-9440-4140d0a676e0,1,
com.google.classyshark.ui.viewer.ClassySharkPanel.Anonymous-7c330a80-f885-478f-9a03-78d89231e4f5,1,
com.google.classyshark.ui.viewer.ClassySharkPanel.Anonymous-c0cbd8c8-3f2a-4d90-af26-440dc41e920c,1,
com.google.classyshark.ui.viewer.ClassySharkPanel.Anonymous-c57351e1-9a42-4302-bc5f-ff1bcab6f7b9,1,
com.google.classyshark.ui.viewer.ClassySharkPanel,0,0.0
com.google.classyshark.ui.viewer.displayarea.BatchDocument,0,0.0
com.google.classyshark.ui.viewer.displayarea.DisplayArea.Anonymous-0a25c5b5-9710-4002-838e-ddc66b92e486,1,
com.google.classyshark.ui.viewer.displayarea.DisplayArea.Anonymous-6b5d30f2-1234-4e38-b9b9-a4117497617e,1,
com.google.classyshark.ui.viewer.displayarea.DisplayArea.Anonymous-8df68a21-8843-4873-b14b-7ef87bf5204d,1,
com.google.classyshark.ui.viewer.displayarea.DisplayArea,0,0.0021
com.google.classyshark.ui.viewer.displayarea.FileStubGenerator,0,0.0
com.google.classyshark.ui.viewer.PanelUtils,0,0.0
com.google.classyshark.ui.viewer.toolbar.ToolBar.Anonymous-2b87b354-1cc7-4b41-876a-64035ec0e7ea,1,
com.google.classyshark.ui.viewer.toolbar.ToolBar.Anonymous-2e409bc1-4863-454c-ab3b-d5c6a68dc221,1,
com.google.classyshark.ui.viewer.toolbar.ToolBar.Anonymous-3f913866-3e33-4c96-add3-cb6e663718c5,1,
com.google.classyshark.ui.viewer.toolbar.ToolBar.Anonymous-4e047559-ace6-4e0d-97b8-d0536a4b9bed,1,
com.google.classyshark.ui.viewer.toolbar.ToolBar.Anonymous-58b1cfce-f95b-42db-b4c4-837b453644f8,1,
com.google.classyshark.ui.viewer.toolbar.ToolBar.Anonymous-5a56b76a-0f87-4cdd-b8aa-90b53ca2f4a9,1,
com.google.classyshark.ui.viewer.toolbar.ToolBar.Anonymous-fef29651-f86f-4976-a14f-31f6e2a1f8b7,1,
com.google.classyshark.ui.viewer.toolbar.ToolBar,0,0.0021
com.google.classyshark.ui.viewer.tree.ExperimentalBlackTree.Anonymous-07f01729-94da-44e2-9a99-987f0c6be1b2,1,
com.google.classyshark.ui.viewer.tree.ExperimentalBlackTree.Anonymous-1c7f4326-bafd-4e3a-b860-1e301524f275,1,
com.google.classyshark.ui.viewer.tree.ExperimentalBlackTree.Anonymous-27ea1a4c-b92c-4afe-be72-cddf97ef5745,1,
com.google.classyshark.ui.viewer.tree.ExperimentalBlackTree.Anonymous-2a676239-864a-4f57-837e-a751d82a98ab,1,
com.google.classyshark.ui.viewer.tree.ExperimentalBlackTree.Anonymous-3b7c469e-76f1-4c7b-a434-f27d4f6eed8e,1,
