file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\translator\Translator.java,com.google.classyshark.translator.Translator$ELEMENT,"ELEMENT/2[java.lang.String,com.google.classyshark.translator.Translator.TAG]",true,38,1,7,7,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\ClassySharkFrame.java,com.google.classyshark.ui.ClassySharkFrame$Anonymous1,getDefaultComponent/1[java.awt.Container],false,73,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,displayClass/1[java.util.List<com.google.classyshark.translator.Translator.ELEMENT>],false,246,2,3,2,1,7,7,28,0,1,1,7,1,1,1,4,1,0,0,1,2,0,3,0,0,0,15,1,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,getOneColorFormattedOutput/1[java.lang.String],false,342,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,10,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,clearText/0,false,338,0,7,7,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,displayInfo/0,false,122,1,2,1,1,2,10,16,0,1,0,10,1,1,0,0,1,0,2,1,3,0,1,0,0,0,13,1,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,displayClass/1[java.lang.String],false,220,1,2,0,2,4,10,22,1,2,1,10,2,1,0,0,2,0,0,2,3,0,2,0,0,0,22,1,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,DisplayArea/1[com.google.classyshark.ui.tabs.TabPanel],true,57,2,5,2,3,1,5,51,0,0,1,5,2,2,0,0,0,0,0,0,2,0,0,1,0,0,48,1,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,isDisplayingClassesList/0,false,316,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\PR\GraphEvoPRV2\projects\android-classyshark\android-classyshark-3-10\google-android-classyshark-302c613\ClassySharkWS\src\com\google\classyshark\ui\tabs\displayarea\DisplayArea.java,com.google.classyshark.ui.tabs.displayarea.DisplayArea,"displayReducedClassesNames/2[java.util.List<java.lang.String>,java.lang.String]",false,147,1,2,1,1,4,12,33,0,5,2,12,1,1,1,0,1,0,3,3,9,3,2,0,0,0,24,1,0,false
