class_name,new,portrait
aboutIsValid,0,0.0
acceptIRI,0,0.0
acceptNode,0,0.0
acquireProperty,0,0.0
add,0,0.0
addAdditionalName,0,0.0
addAdr,0,0.0
addAffiliations,0,0.0
addAnniversary,0,0.0
addAttendees,0,0.0
addAuthors,0,0.0
addAverage,0,0.0
addBday,0,0.0
addBest,0,0.0
addBNodeProperty,0,0.0
addBrand,0,0.0
addCategories,0,0.0
addCategory,0,0.0
addChild,0,0.0
addClass,0,0.0
addClasses,0,0.0
addClassesName,0,0.0
addComponents,0,0.0
addContact,0,0.0
addContacts,0,0.0
addContent,0,0.0
addCount,0,0.0
addDateTimes,0,0.0
addDescription,0,0.0
addDomainTriplesPerResourceRoots,0,0.0
addDuration,0,0.0
addDurations,0,0.0
addEducations,0,0.0
addEmail,0,0.0
addEmails,0,0.0
addEnd,0,0.0
addExperience,0,0.0
addExperiences,0,0.0
addExtractionTimeSizeMetaTriples,0,0.0
addFamilyName,0,0.0
addFieldTriple,0,0.0
addFn,0,0.0
addGenderIdentity,0,0.0
addGeo,0,0.0
addGeoAsUrlResource,0,0.0
addGivenName,0,0.0
addHonorificPrefix,0,0.0
addHonorificSuffix,0,0.0
addIdentifiers,0,0.0
addImpp,0,0.0
addIngredient,0,0.0
addIngredients,0,0.0
addInReplyTo,0,0.0
addInstructions,0,0.0
addIRIProperty,0,0.0
addItem,0,0.0
addItemAddresses,0,0.0
addItemName,0,0.0
addItemPhoto,0,0.0
addItemUrl,0,0.0
addJobTitle,0,0.0
addKey,0,0.0
addListener,0,0.0
addListerEmail,0,0.0
addListerFn,0,0.0
addListerLogo,0,0.0
addListerOrg,0,0.0
addListerTel,0,0.0
addListerUrl,0,0.0
addLocations,0,0.0
addLogo,0,0.0
addName,0,0.0
addNames,0,0.0
addNestingRelationship,0,0.0
addNickname,0,0.0
addNotes,0,0.0
addNutrition,0,0.0
addNutritions,0,0.0
addOrg,0,0.0
addOrganizationName,0,0.0
addOrganizer,0,0.0
addPermalink,0,0.0
addPhoto,0,0.0
addPhotos,0,0.0
addPrice,0,0.0
addPropertyPath,0,0.0
addPublished,0,0.0
addRating,0,0.0
addResourceRoot,0,0.0
addReviewer,0,0.0
addRole,0,0.0
addRRule,0,0.0
addRule,0,0.0
addSex,0,0.0
addSkills,0,0.0
addSortString,0,0.0
addStart,0,0.0
addStringMultiProperty,0,0.0
addStringProperty,0,0.0
addSubMicroformat,0,0.0
addSummary,0,0.0
addSyndications,0,0.0
addTableMetadataStatements,0,0.0
addTags,0,0.0
addTel,0,0.0
addTelephones,0,0.0
addTextExtractor,0,0.0
addTextProps,0,0.0
addTime,0,0.0
addType,0,0.0
addUid,0,0.0
addUpdated,0,0.0
addUrl,0,0.0
addUrls,0,0.0
addValue,0,0.0
addVotes,0,0.0
addWorst,0,0.0
addYield,0,0.0
applyOn,0,0.0
applyTo,0,0.0
asModel,0,0.0
asModelHolder,0,0.0
assertContains,0,0.0
assertContainsModel,0,0.0
assertContent,0,0.0
assertExtractorActivation,0,0.0
assertIssue,0,0.0
assertNotContains,0,0.0
assertNotFound,0,0.0
assertOutputString,0,0.0
assertStatementsSize,0,0.0
assertTriple,0,0.0
assertTripleCount,0,0.0
blockContext,0,0.0
checkTemplateVariablesDeclared,0,0.0
checkTriple,0,0.0
closeContext,0,0.0
conditionallyAddLiteralProperty,0,0.0
conditionallyAddResourceProperty,0,0.0
conditionallyAddStringProperty,0,0.0
configureExtractors,0,0.0
configureParser,0,0.0
consolidateResources,0,0.0
contains,0,0.0
convert,0,0.0
copyAttributes,0,0.0
createHTTPDocumentSource,0,0.0
createLiteral,0,0.0
createLocalCopy,0,0.0
createNestingRelationship,0,0.0
createStatement,0,0.0
createWorkbook,0,0.0
createWriter,0,0.0
deferProperties,0,0.0
depthFirstChildren,0,0.0
depthFirstNode,0,0.0
disownProperty,0,0.0
documentToInputStream,0,0.0
doGet,0,0.0
doPost,0,0.0
dumpModel,0,0.0
endDocument,0,0.0
establishNewSubject,0,0.0
establishNewSubjectCurrentObjectResource,0,0.0
evaluateDefaultVariant,0,0.0
evaluateVariant,0,0.0
evaluateVariantAlias,0,0.0
execute,0,0.0
expectCloseContext,0,0.0
expectEndDocument,0,0.0
expectNamespace,0,0.0
expectOpenContext,0,0.0
expectStartDocument,0,0.0
expectTriple,0,0.0
extract,0,0.0
extractCalendar,0,0.0
extractComponent,0,0.0
extractDocumentLanguage,0,0.0
extractEntity,0,0.0
extractEntityAsEmbeddedProperty,0,0.0
extractHCardTextContent,0,0.0
extractJSONLDScript,0,0.0
extractLink,0,0.0
extractLinkDefinedPrefixes,0,0.0
extractMetaElement,0,0.0
extractPrefixes,0,0.0
extractProfile,0,0.0
extractRel,0,0.0
extractRelTag,0,0.0
extractSkillValue,0,0.0
extractTextInValue,0,0.0
extractTextNotInType,0,0.0
filterByMIMEType,0,0.0
find,0,0.0
findActions,0,0.0
findAll,0,0.0
findAllBy,0,0.0
findAllByAttributeContains,0,0.0
findAllByAttributeName,0,0.0
findAllByClassName,0,0.0
findAllByTag,0,0.0
findAllByTagAndClassName,0,0.0
findDummy,0,0.0
findExactlyOneBlankSubject,0,0.0
findExactlyOneObject,0,0.0
findNodeById,0,0.0
findObject,0,0.0
findObjectAsLiteral,0,0.0
findObjectAsResource,0,0.0
findObjects,0,0.0
findSubjects,0,0.0
fixIncludes,0,0.0
gerCurrentObjectLiteral,0,0.0
getApplicableExtractors,0,0.0
getAsPlainLiteral,0,0.0
getAsTypedLiteral,0,0.0
getAsXMLLiteral,0,0.0
getBlankNodeFor,0,0.0
getCellIRI,0,0.0
getCommentFor,0,0.0
getConnectionTimeout,0,0.0
getContentTypeHeader,0,0.0
getContextResource,0,0.0
getCurrentObject,0,0.0
getDocumentBase,0,0.0
getDocumentLanguage,0,0.0
getExactlyOneComponent,0,0.0
getExtractionParameters,0,0.0
getFactory,0,0.0
getFixes,0,0.0
getFormatFromRequest,0,0.0
getFormatFromRequestOrNegotiation,0,0.0
getFunctionalSyntaxParser,0,0.0
getIdentifier,0,0.0
getIndexInParent,0,0.0
getInputIRIFromRequest,0,0.0
getItemPropNodes,0,0.0
getItemProps,0,0.0
getItemScope,0,0.0
getItemScopeNodes,0,0.0
getJSONLDParser,0,0.0
getKey,0,0.0
getLanguage,0,0.0
getManchesterSyntaxParser,0,0.0
getMicrodata,0,0.0
getMicrodataAsJSON,0,0.0
getMimeType,0,0.0
getMimeTypesStr,0,0.0
getNodeContent,0,0.0
getNodeLocation,0,0.0
getNQuadsParser,0,0.0
getNTriplesParser,0,0.0
getParser,0,0.0
getPredicate,0,0.0
getProperty,0,0.0
getPropertyValue,0,0.0
getRDFa10Parser,0,0.0
getRDFa11Parser,0,0.0
getRDFXMLParser,0,0.0
getRels,0,0.0
getRevs,0,0.0
