file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\main\java\com\google\caliper\runner\PlatformModule.java,com.google.caliper.runner.PlatformModule,"providePlatform/2[com.google.caliper.runner.Optional<com.google.caliper.platform.dalvik.DalvikPlatform>,com.google.caliper.runner.Provider<com.google.caliper.platform.jvm.JvmPlatform>]",false,44,4,0,0,0,2,2,8,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,8,0,true
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\test\java\com\google\caliper\runner\WorkerProcessTest.java,com.google.caliper.runner.WorkerProcessTest$TestBenchmark,thing/1[long],false,154,1,0,0,0,2,1,7,1,2,1,1,0,0,1,0,0,0,0,2,3,0,1,0,0,0,5,0,0,false
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\test\java\com\google\caliper\runner\AllocationInstrumentTest.java,com.google.caliper.runner.AllocationInstrumentTest$TestBenchmark,compressionSize/1[int],false,91,1,0,0,0,2,3,8,1,2,1,3,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,1,0,false
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\test\java\com\google\caliper\bridge\LogMessageParserTest.java,com.google.caliper.bridge.LogMessageParserTest$LogMessageParserComponent,inject/1[com.google.caliper.bridge.LogMessageParserTest],false,49,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\main\java\com\google\caliper\model\StringMapFunnel.java,com.google.caliper.model.StringMapFunnel,"funnel/2[java.util.Map<java.lang.String,java.lang.String>,com.google.caliper.model.PrimitiveSink]",false,32,1,3,3,0,2,5,5,0,0,2,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,false
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\main\java\com\google\caliper\bridge\GcLogMessage.java,com.google.caliper.bridge.GcLogMessage,accept/1[com.google.caliper.bridge.LogMessageVisitor],false,54,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\main\java\com\google\caliper\bridge\GcLogMessage.java,com.google.caliper.bridge.GcLogMessage,toString/0,false,77,0,0,0,0,1,4,3,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\main\java\com\google\caliper\bridge\GcLogMessage.java,com.google.caliper.bridge.GcLogMessage,"GcLogMessage/2[com.google.caliper.bridge.GcLogMessage.Type,com.google.caliper.util.ShortDuration]",true,40,2,2,2,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,false
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\main\java\com\google\caliper\bridge\GcLogMessage.java,com.google.caliper.bridge.GcLogMessage,type/0,false,45,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\PR\GraphEvoPRV3\projects\caliper\caliper-43-328\google-caliper-16367bc\caliper\src\main\java\com\google\caliper\bridge\GcLogMessage.java,com.google.caliper.bridge.GcLogMessage,equals/1[java.lang.Object],false,64,1,0,0,0,3,1,12,3,1,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,9,1,0,false
