file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper\src\test\java\com\google\caliper\runner\WorkerProcessTest.java,com.google.caliper.runner.WorkerProcessTest$TestBenchmark,innerclass,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,2,3,0,2,1,0,0,0,7,24,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper\src\test\java\com\google\caliper\runner\AllocationInstrumentTest.java,com.google.caliper.runner.AllocationInstrumentTest$TestBenchmark,innerclass,1,1,0,1,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,11,1,1,0,0,0,0,1,3,0,3,1,0,0,0,10,9,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper\src\test\java\com\google\caliper\runner\config\CaliperConfigTest.java,com.google.caliper.runner.config.CaliperConfigTest$TestResultProcessor,innerclass,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-core\src\test\java\com\google\caliper\bridge\LogMessageParserTest.java,com.google.caliper.bridge.LogMessageParserTest$LogMessageParserComponent,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-worker\src\main\java\com\google\caliper\worker\WorkerModule.java,com.google.caliper.worker.WorkerModule$OtherBindings,innerclass,16,16,0,16,10,1,0,4,36,0.0,0.0,0.0,9,5,0,0,0,9,9,4,0,0,0,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,1,0,1,1,0,0,0,34,1032,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-api\src\main\java\com\google\caliper\model\StringMapFunnel.java,com.google.caliper.model.StringMapFunnel,enum,2,5,3,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,23,0,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-core\src\main\java\com\google\caliper\bridge\GcLogMessage.java,com.google.caliper.bridge.GcLogMessage,class,5,11,6,5,9,2,0,8,0,0.2857143,0.0,0.0,7,0,6,0,0,1,7,0,0,0,2,0,0,2,0,0,2,0,0,36,7,0,2,0,0,1,0,3,0,3,1,0,1,0,50,17,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-examples\src\main\java\examples\DoubleToStringBenchmark.java,examples.DoubleToStringBenchmark,class,4,4,0,4,4,1,0,3,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,60,2,2,0,0,0,0,4,8,0,8,1,0,2,0,48,1,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-core\src\main\java\com\google\caliper\memory\ObjectGraphMeasurer.java,com.google.caliper.memory.ObjectGraphMeasurer$Footprint,innerclass,4,4,0,4,13,1,0,12,0,0.4888889,0.0,0.0,9,0,9,0,0,0,9,0,0,0,5,1,0,5,0,0,5,0,0,45,9,0,3,0,0,8,3,6,1,6,1,0,0,0,45,25,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-examples\src\main\java\examples\ArraySortBenchmark.java,examples.ArraySortBenchmark,class,5,5,0,5,3,1,0,3,0,0.125,0.0,0.0,2,0,0,0,0,2,2,0,0,0,4,0,0,4,0,0,0,0,2,59,0,1,0,0,0,4,3,3,0,5,1,0,1,0,39,1,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-examples\src\main\java\examples\VarargsBenchmark.java,examples.VarargsBenchmark,class,7,10,3,7,29,1,0,13,47,0.62222224,0.0,0.0,15,7,0,13,0,2,2,0,0,0,3,0,0,3,0,0,0,0,0,155,19,8,0,0,15,6,36,36,36,30,1,0,1,0,59,17,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-runner\src\main\java\com\google\caliper\runner\JarFinder.java,com.google.caliper.runner.JarFinder$Scanner,innerclass,4,4,0,4,22,1,0,30,26,0.8125,0.0,0.0,8,2,0,3,0,5,5,0,0,0,2,0,0,2,0,0,2,0,2,81,6,3,2,4,0,4,0,8,2,8,3,0,0,0,82,24,0
C:\PR\GraphEvoPRV3\projects\caliper\caliper-56-352\google-caliper-4d57aa5\caliper-runner\src\test\java\com\google\caliper\runner\BenchmarkCreatorTest.java,com.google.caliper.runner.BenchmarkCreatorTest$PublicDefaultConstructorWithParamBenchmark,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,9,0
