class_name,new,portrait
abstractMicrobenchmarkAllocationWorker,0,0.0001
accept,0,0.0018
addAllMeasurements,0,0.0002
addMeasurement,0,0.0001
addToMultimap,0,0.0002
apply,0,0.0001
assertEndsConnected,0,0.0001
benchmarkSpec,0,0.0001
bindAnnotationExclusionStrategy,0,0.0001
bindArbitraryMeasurementWorker,0,0.0001
bindCaliperRun,1,
bindHttpUploader,0,0.0002
bindImmutableListTypeAdapterFactory,0,0.0001
bindImmutableMapTypeAdapterFactory,0,0.0001
bindImmutableMultimapTypeAdapterFactory,0,0.0001
bindNaturallySortedMapTypeAdapterFactory,0,0.0001
bindOutputFileDumper,0,0.0001
bindRunnerComponent,1,
bindServerSocketService,1,
bindsMacrobenchmarkAllocationWorker,0,0.0001
bindTrialOutputFactory,1,
bindTrialOutputFactoryService,1,
buildProcess,0,0.0003
cartesian,0,0.0001
checkDefaults,0,0.0001
cleanup,0,0.0001
com.google.caliper.bridge.BenchmarkInfoRequest,0,0.0001
com.google.caliper.bridge.CommandLineSerializer,0,0.0001
com.google.caliper.bridge.FailureLogMessage,0,0.0002
com.google.caliper.bridge.GcLogMessage,0,0.0001
com.google.caliper.bridge.GcLogMessageGenerator,0,0.0001
com.google.caliper.bridge.LogMessageParser,0,0.0001
com.google.caliper.bridge.LogMessageParserTest.LogMessageParserComponent,0,0.0001
com.google.caliper.bridge.LogMessageParserTest,0,0.0001
com.google.caliper.bridge.OpenedSocket.Anonymous-02de4561-e1b2-4ec2-942a-350056c97cb8,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-13f3e202-0640-44eb-ab9e-de4b96069fce,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-1443f07b-73e7-48a6-801b-500783456de7,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-1df2aaa1-59cb-41ea-9cfb-919235adeda7,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-6affef26-fe3f-45a1-9bc4-68f8dd129d75,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-6f14091b-656a-411d-888a-eeb835a58e41,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-73ce9f1e-b36a-41d6-a997-b07aa3346e0d,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-75293386-1483-4edd-872c-33904042ba38,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-8efc6a1e-dc8d-4a1a-a615-0dbd05af8ac0,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-940b95ab-130d-4168-9810-3f5f11f851fb,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-aecdc72b-0f0c-4797-a8e1-2f7be11cd6ea,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-c193d4f0-3a93-4886-b85d-2db8d6424ac8,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-cd49359d-4035-4727-8c95-ea4e8323e79f,1,
com.google.caliper.bridge.OpenedSocket.Anonymous-f22731d9-2ae7-4791-ad20-3dc2b079c528,1,
com.google.caliper.bridge.OpenedSocket.Reader,0,0.0001
com.google.caliper.bridge.OpenedSocket,0,0.0003
com.google.caliper.bridge.OpenedSocket.Writer,0,0.0002
com.google.caliper.bridge.Renderer,0,0.0001
com.google.caliper.bridge.ShouldContinueMessage,0,0.0002
com.google.caliper.bridge.StartMeasurementLogMessage,0,0.0001
com.google.caliper.bridge.StartupAnnounceMessage,0,0.0001
com.google.caliper.bridge.StopMeasurementLogMessage,0,0.0001
com.google.caliper.bridge.TrialRequest,0,0.0002
com.google.caliper.bridge.VmOptionLogMessage,0,0.0001
com.google.caliper.bridge.VmPropertiesLogMessage,0,0.0001
com.google.caliper.bridge.WorkerRequest,0,0.0001
com.google.caliper.core.InvalidBenchmarkException,0,0.0001
com.google.caliper.core.InvalidInstrumentException,0,0.0001
com.google.caliper.core.UserCodeException,0,0.0001
com.google.caliper.json.AnnotationExclusionStrategy,0,0.0001
com.google.caliper.memory.Chain.Anonymous-12c7a9bf-2b44-44d4-af7f-52fb221a73ed,1,
com.google.caliper.memory.Chain.ArrayIndexChain,0,0.0001
com.google.caliper.memory.Chain.FieldChain,0,0.0001
com.google.caliper.memory.Chain,0,0.0002
com.google.caliper.memory.ObjectExplorer,0,0.0001
com.google.caliper.memory.ObjectGraphMeasurer.Footprint,0,0.0001
com.google.caliper.memory.ObjectGraphMeasurer.ObjectGraphVisitor,0,0.0001
com.google.caliper.memory.ObjectGraphMeasurer,0,0.0001
com.google.caliper.memory.ObjectGraphMeasurerTest,0,0.0002
com.google.caliper.memory.ObjectVisitor,0,0.0001
com.google.caliper.model.BenchmarkSpec.Builder,0,0.0003
com.google.caliper.model.BenchmarkSpec,0,0.0001
com.google.caliper.model.Host.Builder,0,0.0002
com.google.caliper.model.Host,0,0.0001
com.google.caliper.model.HostTest.GsonComponent,0,0.0003
com.google.caliper.model.HostTest,0,0.0001
com.google.caliper.model.InstrumentSpec.Builder,0,0.0002
com.google.caliper.model.InstrumentSpec,0,0.0002
com.google.caliper.model.Measurement.Builder,0,0.0002
com.google.caliper.model.Measurement,0,0.0001
com.google.caliper.model.PersistentHashing,0,0.0001
com.google.caliper.model.Run.Builder,0,0.0001
com.google.caliper.model.Run,0,0.0002
com.google.caliper.model.Scenario.Builder,0,0.0005
com.google.caliper.model.Scenario,0,0.0001
com.google.caliper.model.Trial.Builder,0,0.0001
com.google.caliper.model.Trial,0,0.0001
com.google.caliper.model.Value,0,0.0002
com.google.caliper.model.VmSpec.Builder,0,0.0001
com.google.caliper.model.VmSpec,0,0.0002
com.google.caliper.runner.AllocationInstrument.MacroAllocationInstrumentation,0,0.0001
com.google.caliper.runner.AllocationInstrument.MicroAllocationInstrumentation,0,0.0002
com.google.caliper.runner.AllocationInstrument,0,0.0002
com.google.caliper.runner.AllocationInstrumentTest.ArrayListGrowthBenchmark,0,0.0001
com.google.caliper.runner.AllocationInstrumentTest.TestBenchmark,0,0.0001
com.google.caliper.runner.AllocationInstrumentTest.TestMacroBenchmark,0,0.0001
com.google.caliper.runner.AllocationInstrumentTest,0,0.0001
com.google.caliper.runner.ArbitraryMeasurementInstrument.ArbitraryMeasurementInstrumentation,0,0.0001
com.google.caliper.runner.ArbitraryMeasurementInstrument.SingleMeasurementCollectingVisitor,0,0.0001
com.google.caliper.runner.ArbitraryMeasurementInstrument,0,0.0002
com.google.caliper.runner.ArbitraryMeasurmentInstrumentTest.TestBenchmark,0,0.0001
com.google.caliper.runner.ArbitraryMeasurmentInstrumentTest,0,0.0005
com.google.caliper.runner.BadUserCodeTest.ComplexNonDeterministicAllocationBenchmark,0,0.0002
com.google.caliper.runner.BadUserCodeTest.ExceptionInConstructorBenchmark,0,0.0001
com.google.caliper.runner.BadUserCodeTest.ExceptionInInitBenchmark,0,0.0001
com.google.caliper.runner.BadUserCodeTest.ExceptionInMethodBenchmark,0,0.0002
com.google.caliper.runner.BadUserCodeTest.ExceptionInSetUpBenchmark,0,0.0002
com.google.caliper.runner.BadUserCodeTest.ExceptionLateInMethodBenchmark,0,0.0001
com.google.caliper.runner.BadUserCodeTest.NonDeterministicAllocationBenchmark,0,0.0001
com.google.caliper.runner.BadUserCodeTest,0,0.0002
com.google.caliper.runner.BenchmarkClass,0,0.0002
com.google.caliper.runner.BenchmarkClassModule,0,0.0001
com.google.caliper.runner.BenchmarkClassTest.MyBenchmark,0,0.0018
com.google.caliper.runner.BenchmarkClassTest,0,0.0001
com.google.caliper.runner.BenchmarkCreator,0,0.0001
com.google.caliper.runner.BenchmarkCreatorTest,0,0.0001
com.google.caliper.runner.BenchmarkMethods,0,0.0001
com.google.caliper.runner.BenchmarkMethods.Type,0,0.0001
com.google.caliper.runner.CaliperActivity.Anonymous-f3a2b69a-dc4d-46ab-b8c3-3d7f88e9b1a6,1,
com.google.caliper.runner.CaliperActivity.CloseableZipFile,0,0.0001
com.google.caliper.runner.CaliperActivity,0,0.0002
com.google.caliper.runner.CaliperMain,0,0.0002
com.google.caliper.runner.CaliperRun,0,0.0005
com.google.caliper.runner.CaliperRunComponent,1,
com.google.caliper.runner.CaliperRunModule,1,
com.google.caliper.runner.CaliperRunModuleTest.FakeInstrument,1,
com.google.caliper.runner.CaliperRunModuleTest.TestBenchmark,1,
com.google.caliper.runner.CaliperRunModuleTest,1,
com.google.caliper.runner.CaliperRunner,1,
com.google.caliper.runner.CaliperRunnerComponent,1,
com.google.caliper.runner.CaliperTestWatcher,0,0.0001
com.google.caliper.runner.CaliperUploaderTest,0,0.0001
com.google.caliper.runner.config.CaliperConfig,0,0.0002
com.google.caliper.runner.config.CaliperConfigLoader,0,0.0001
com.google.caliper.runner.config.CaliperConfigLoaderTest,0,0.0003
com.google.caliper.runner.config.CaliperConfigTest.TestResultProcessor,0,0.0001
com.google.caliper.runner.config.CaliperConfigTest,0,0.0001
com.google.caliper.runner.config.ConfigModule,0,0.0001
com.google.caliper.runner.config.InstrumentConfig.Builder,0,0.0001
com.google.caliper.runner.config.InstrumentConfig,0,0.0002
com.google.caliper.runner.config.InvalidConfigurationException,0,0.0001
com.google.caliper.runner.config.LoggingConfigLoader,0,0.0001
com.google.caliper.runner.config.LoggingConfigLoaderTest,0,0.0001
com.google.caliper.runner.config.ResultProcessorConfig.Builder,0,0.0001
com.google.caliper.runner.config.ResultProcessorConfig,0,0.0001
com.google.caliper.runner.config.VmConfig.Builder,0,0.0001
com.google.caliper.runner.config.VmConfig,0,0.0001
com.google.caliper.runner.config.VmConfigTest,0,0.0001
com.google.caliper.runner.ConsoleOutput,0,0.0001
com.google.caliper.runner.Experiment,0,0.0001
com.google.caliper.runner.ExperimentComponent,0,0.0001
com.google.caliper.runner.ExperimentingCaliperRun.Anonymous-74571577-d4fa-4d9a-b7e1-b4a1d52c0b6b,1,
com.google.caliper.runner.ExperimentingCaliperRun,0,0.0001
com.google.caliper.runner.ExperimentModule,0,0.0002
com.google.caliper.runner.ExperimentSelector,0,0.0005
com.google.caliper.runner.FakeWorkers.CloseAndSleep,0,0.0001
com.google.caliper.runner.FakeWorkers.DummyLogMessage,0,0.0001
com.google.caliper.runner.FakeWorkers.Exit,0,0.0001
com.google.caliper.runner.FakeWorkers.LoadBenchmarkClass,0,0.0001
com.google.caliper.runner.FakeWorkers.PrintClient,0,0.0001
com.google.caliper.runner.FakeWorkers.Sleeper,0,0.0001
com.google.caliper.runner.FakeWorkers.SocketEchoClient,0,0.0001
com.google.caliper.runner.FakeWorkers,0,0.0002
com.google.caliper.runner.FullCartesianExperimentSelector,0,0.0002
com.google.caliper.runner.HostModule,1,
com.google.caliper.runner.InMemoryResultsUploader,0,0.0001
com.google.caliper.runner.Instrument.DefaultMeasurementCollectingVisitor,0,0.0001
com.google.caliper.runner.Instrument.Instrumentation,0,0.0001
com.google.caliper.runner.Instrument.MeasurementCollectingVisitor,0,0.0002
com.google.caliper.runner.Instrument,0,0.0001
com.google.caliper.runner.InstrumentInjectorModule,0,0.0002
com.google.caliper.runner.JarFinder.Scanner,0,0.0002
com.google.caliper.runner.JarFinder,0,0.0002
com.google.caliper.runner.JvmRunnerModule,0,0.0002
com.google.caliper.runner.LineBuffer,0,0.0002
com.google.caliper.runner.LoggingWriter,0,0.0002
com.google.caliper.runner.MainModule,0,0.0001
com.google.caliper.runner.MalformedBenchmarksTest.BadConstructorBenchmark,0,0.0001
com.google.caliper.runner.MalformedBenchmarksTest.BoxedParamBenchmark,0,0.0001
com.google.caliper.runner.MalformedBenchmarksTest.ExtraParamBenchmark,0,0.0001
com.google.caliper.runner.MalformedBenchmarksTest.NoMethodsBenchmark,0,0.0002
com.google.caliper.runner.MalformedBenchmarksTest.OverloadsAnnotatedBenchmark,0,0.0002
com.google.caliper.runner.MalformedBenchmarksTest.StaticBenchmarkMethodBenchmark,0,0.0001
com.google.caliper.runner.MalformedBenchmarksTest,0,0.0001
com.google.caliper.runner.NanoTimeGranularityModule,1,
com.google.caliper.runner.options.CaliperOptions,0,0.0001
com.google.caliper.runner.options.CommandLineParser.FieldOption,0,0.0001
com.google.caliper.runner.options.CommandLineParser.InjectableOption,0,0.0001
com.google.caliper.runner.options.CommandLineParser.InjectionMap.Anonymous-56a65ec6-1dbe-4e34-8102-4bb09b361d87,1,
com.google.caliper.runner.options.CommandLineParser.InjectionMap.Anonymous-db5b155e-7a12-465b-9f92-d365175cf5ee,1,
com.google.caliper.runner.options.CommandLineParser.InjectionMap,0,0.0001
com.google.caliper.runner.options.CommandLineParser.MethodOption,0,0.0001
com.google.caliper.runner.options.CommandLineParser,0,0.0001
com.google.caliper.runner.options.OptionsModule,0,0.0005
com.google.caliper.runner.options.ParsedOptions,0,0.0001
com.google.caliper.runner.options.ParsedOptionsTest,0,0.0003
com.google.caliper.runner.OutputFileDumper,0,0.0001
com.google.caliper.runner.Parameter,0,0.0005
com.google.caliper.runner.ParameterSet,0,0.0001
com.google.caliper.runner.platform.DalvikPlatform,0,0.0001
com.google.caliper.runner.platform.EffectiveClassPath,0,0.0001
