class_name,new,portrait
aclProvider,0,0.0019
acquire,0,0.0019
add,0,0.0019
addCreateToTransaction,0,0.0019
addDeleteToTransaction,0,0.0019
addInstance,0,0.0025
additionalFilter,0,0.0019
addListener,0,0.0025
addParentWatcher,0,0.0019
addStateChange,0,0.0019
addToTakenItems,0,0.0019
allocateQueue,0,0.0025
allow,0,0.0019
allowRetry,0,0.0019
answer,0,0.0019
apply,0,0.0059
applyNewData,0,0.0019
assertNodeDoesNotExist,0,0.0019
assertNodeExists,0,0.0019
assertOrdering,0,0.0019
asTransactionCreateBuilder,0,0.0025
asTransactionDeleteBuilder,0,0.0059
asTransactionSetDataBuilder,0,0.0019
attemptRevoke,0,0.0019
backgroundCreateParentsThenNode,0,0.0019
backgroundDeleteChildrenThenNode,0,0.0019
bar,0,0.0019
beforeSuite,1,
build,0,0.0025
builder,0,0.0025
cache.PathCacheExample,0,0.0059
cacheChanged,0,0.0025
cacheClosed,0,0.0019
cacheOpened,0,0.0025
call,0,0.0026
callListeners,0,0.0019
callPerformBackgroundOperation,0,0.0019
callWithRetry,0,0.0025
checkBackgroundRetry,0,0.0019
checkPart,0,0.0019
checkState,0,0.0025
childEvent,0,0.0019
client,0,0.0019
close,0,0.0019
closeAll,0,0.0025
codeToState,0,0.0008
commitTransaction,0,0.0025
compare,0,0.0059
compareAndSet,0,0.0025
compress,0,0.0019
compressionProvider,0,0.0025
consumeMessage,0,0.0025
countHasChanged,0,0.0019
create,0,0.0019
createEphemeral,0,0.0019
createEphemeralSequential,0,0.0019
createWithOptions,0,0.0025
creatingParentsIfNeeded,0,0.0019
decompress,0,0.0019
decrement,0,0.0019
delete,0,0.0019
deleteChildren,0,0.0019
deleteInstance,0,0.0019
deserialize,0,0.0025
discovery.DiscoveryExample,0,0.0025
discovery.ExampleServer,0,0.0045
discovery.InstanceDetails,0,0.0025
doLocking,0,0.0045
doPutInBackground,0,0.0019
doPutInForeground,0,0.0017
doSimulation,0,0.0019
downInstancePolicy,0,0.0025
doWork,0,0.0019
ensembleProvider,0,0.0019
ensure,0,0.0019
eventReceived,0,0.0065
findConnectionInstance,0,0.0019
fixForSorting,0,0.0019
fixMethods,0,0.0019
foo,0,0.0025
forceSet,0,0.0059
forEach,0,0.0019
forPath,0,0.0019
framework.CreateClientExamples,0,0.0019
get,0,0.0025
getBackupConnectionString,0,0.0025
getChildrenForEntering,0,0.0019
getChildrenWatched,0,0.0019
getClasses,0,0.0025
getConnectionString,0,0.0019
getContextFromProvider,0,0.0025
getCreateMode,0,0.0019
getCurrentValue,0,0.0019
getData,0,0.006
getDataAndStat,0,0.0019
getDelay,0,0.0019
getInitialData,0,0.0019
getInstance,0,0.0019
getInstances,0,0.0019
getInteger,0,0.0019
getLeader,0,0.0019
getLeaders,0,0.0019
getLockNodeBytes,0,0.0019
getNamespaceWatcher,0,0.0025
getParticipantNodes,0,0.0065
getParticipants,0,0.0019
getRaw,0,0.0025
getSingletons,0,0.0019
getSize,0,0.0059
getSortedChildren,0,0.0025
getsTheLock,0,0.0025
getThreadFactory,0,0.0019
getZooKeeperServer,0,0.0019
guaranteedDelete,0,0.0019
handleBackgroundOperationException,0,0.0019
handleStateChange,0,0.0025
hasUninitialized,0,0.0019
inBackground,0,0.0008
increment,0,0.0019
instanceIdFromData,0,0.0019
internalAcquire1Lease,0,0.0019
internalCreateNode,0,0.0019
internalElement,0,0.0019
internalPut,0,0.0019
internalRegisterService,0,0.0025
internalTestMode,0,0.0019
isAcquiredInThisProcess,0,0.0019
isLeader,0,0.0019
isProtected,0,0.0019
isReadable,0,0.0019
isWriteable,0,0.0019
kill,0,0.0025
killServer,0,0.0017
killSession,0,0.0019
leader.ExampleClient,0,0.0019
leader.LeaderSelectorExample,0,0.0019
list,0,0.0065
listen,0,0.0019
listInstances,0,0.0025
listRandomInstance,0,0.0019
listToMap,0,0.0019
load,0,0.0019
locking.ExampleClientThatLocks,0,0.0026
locking.FakeLimitedResource,0,0.0019
locking.LockingExample.Anonymous-368785e1-1ee7-496b-a018-be791c333695,1,
locking.LockingExample,0,0.0059
makeAllocator,0,0.0019
makeClient,0,0.0025
makeCuratorResult,0,0.0019
makeFactory,0,0.0025
makeFrom,0,0.0019
makeLeaderLatch,0,0.0019
makeLock,0,0.0019
makeLocks,0,0.0019
makeRevocable,0,0.0025
makeZookeeperFactory,0,0.0019
marshallJson,0,0.0019
maybeOfferInitializedEvent,0,0.0019
mkdirs,0,0.0019
newClient,0,0.0019
newSessionFailRetryLoop,0,0.0019
newZooKeeper,0,0.0019
nextItem,0,0.0019
nodeChanged,0,0.0025
noteError,0,0.0019
notifyListenerOfStateChanged,0,0.0025
notLeader,0,0.0025
offerOperation,0,0.0043
ofTypeAndPath,0,0.0019
org.apache.curator.BasicTests.Anonymous-d3e16daa-6e2e-4800-a2ce-46f2d5a04ae5,1,
org.apache.curator.BasicTests,0,0.0045
org.apache.curator.ConnectionState,0,0.0025
org.apache.curator.CuratorZookeeperClient,0,0.0045
org.apache.curator.drivers.TracerDriver,0,0.0065
org.apache.curator.ensemble.EnsembleProvider,0,0.0019
org.apache.curator.ensemble.exhibitor.DefaultExhibitorRestClient,0,0.0017
org.apache.curator.ensemble.exhibitor.ExhibitorEnsembleProvider.Anonymous-51dddcd4-68b9-42fb-ad1f-cad1e599211d,1,
org.apache.curator.ensemble.exhibitor.ExhibitorEnsembleProvider,0,0.006
org.apache.curator.ensemble.exhibitor.ExhibitorRestClient,0,0.0019
org.apache.curator.ensemble.exhibitor.Exhibitors.BackupConnectionStringProvider,0,0.0025
org.apache.curator.ensemble.exhibitor.Exhibitors,0,0.0025
org.apache.curator.ensemble.exhibitor.TestExhibitorEnsembleProvider.Anonymous-3014c0d1-588c-45f1-bf62-62e49a241d4d,1,
org.apache.curator.ensemble.exhibitor.TestExhibitorEnsembleProvider.Anonymous-d1133ee8-57bd-4d8b-8866-f2c546b57984,1,
org.apache.curator.ensemble.exhibitor.TestExhibitorEnsembleProvider,0,0.0019
org.apache.curator.ensemble.fixed.FixedEnsembleProvider,0,0.0019
org.apache.curator.framework.api.ACLProvider,0,0.0025
org.apache.curator.framework.api.Backgroundable,0,0.0025
org.apache.curator.framework.api.ChildrenDeletable,0,0.0025
org.apache.curator.framework.api.Compressible,0,0.0008
org.apache.curator.framework.api.CompressionProvider,0,0.0019
org.apache.curator.framework.api.CreateBackgroundModeACLable,0,0.0025
org.apache.curator.framework.api.CreateBuilder,0,0.0025
org.apache.curator.framework.api.CuratorEvent,0,0.0059
org.apache.curator.framework.api.Decompressible,0,0.0019
org.apache.curator.framework.api.Guaranteeable,0,0.0019
org.apache.curator.framework.api.Pathable,0,0.006
org.apache.curator.framework.api.PathAndBytesable,0,0.0026
org.apache.curator.framework.api.ProtectACLCreateModePathAndBytesable,0,0.0019
org.apache.curator.framework.api.transaction.CuratorTransaction,0,0.0025
org.apache.curator.framework.api.transaction.CuratorTransactionBridge,0,0.0025
org.apache.curator.framework.api.transaction.CuratorTransactionFinal,0,0.0019
org.apache.curator.framework.api.transaction.CuratorTransactionResult,0,0.0026
org.apache.curator.framework.api.UnhandledErrorListener,0,0.0019
org.apache.curator.framework.api.Versionable,0,0.0019
org.apache.curator.framework.api.Watchable,0,0.0019
org.apache.curator.framework.client.TestBackgroundStates,0,0.0025
org.apache.curator.framework.client.TestResetConnectionWithBackgroundFailure,0,0.0025
org.apache.curator.framework.CuratorFramework,0,0.0065
org.apache.curator.framework.CuratorFrameworkFactory.Builder,0,0.0026
org.apache.curator.framework.CuratorFrameworkFactory,0,0.0019
org.apache.curator.framework.CuratorTempFramework,0,0.0019
org.apache.curator.framework.imps.ACLing,0,0.0025
org.apache.curator.framework.imps.Backgrounding,0,0.0019
org.apache.curator.framework.imps.CreateBuilderImpl.Anonymous-cb6346c7-fc01-42ae-a19f-623f81358eb3,1,
org.apache.curator.framework.imps.CreateBuilderImpl.Anonymous-df47cc78-3093-4561-bcb9-9ab7d4d96291,1,
org.apache.curator.framework.imps.CreateBuilderImpl,0,0.0065
org.apache.curator.framework.imps.CuratorEventImpl,0,0.0025
org.apache.curator.framework.imps.CuratorFrameworkImpl.Anonymous-e9636bb9-8c4f-4a15-9e03-9925fa214873,1,
org.apache.curator.framework.imps.CuratorFrameworkImpl.AuthInfo,0,0.0025
org.apache.curator.framework.imps.CuratorFrameworkImpl,0,0.0061
org.apache.curator.framework.imps.CuratorMultiTransactionRecord,0,0.0019
org.apache.curator.framework.imps.CuratorTempFrameworkImpl.Anonymous-6c0b68e5-0b29-4301-b383-a36196ab527d,1,
org.apache.curator.framework.imps.CuratorTempFrameworkImpl,0,0.0025
org.apache.curator.framework.imps.CuratorTransactionImpl.Anonymous-5872171f-df22-44b0-b3c7-d325fcfb3923,1,
org.apache.curator.framework.imps.CuratorTransactionImpl,0,0.0025
org.apache.curator.framework.imps.DefaultACLProvider,0,0.0059
org.apache.curator.framework.imps.DeleteBuilderImpl.Anonymous-b6453aba-86d8-4334-8afe-2c431af7f22a,1,
org.apache.curator.framework.imps.DeleteBuilderImpl,0,0.0059
org.apache.curator.framework.imps.ExistsBuilderImpl.Anonymous-c848d1d7-7695-4254-9fd7-f9eaf7dd47e2,1,
org.apache.curator.framework.imps.ExistsBuilderImpl,0,0.0026
org.apache.curator.framework.imps.FailedDeleteManager,0,0.0019
