file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-x-discovery\src\main\java\org\apache\curator\x\discovery\strategies\StickyStrategy.java,org.apache.curator.x.discovery.strategies.StickyStrategy$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-framework\src\main\java\org\apache\curator\framework\imps\TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,class,11,13,2,11,5,1,0,7,0,0.41666666,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,1,0,1,30,3,0,0,0,0,1,0,8,0,6,0,1,0,0,26,0,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-framework\src\test\java\org\apache\curator\framework\imps\TestNeverConnected.java,org.apache.curator.framework.imps.TestNeverConnected,class,11,11,0,11,1,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,1,0,2,3,6,0,5,1,1,0,0,19,1,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-client\src\main\java\org\apache\curator\utils\DefaultTracerDriver.java,org.apache.curator.utils.DefaultTracerDriver,class,2,3,1,2,4,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,5,0,1,2,1,1,0,0,0,17,1,2
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-client\src\main\java\org\apache\curator\RetryLoop.java,org.apache.curator.RetryLoop,class,8,35,27,8,21,1,0,18,22,0.8035714,0.0,0.0,8,4,7,0,0,1,8,0,0,0,7,1,0,7,0,0,5,0,7,76,6,1,4,1,4,5,3,14,1,11,3,1,0,0,118,1,3
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-recipes\src\test\java\org\apache\curator\framework\recipes\cache\TestNodeCache.java,org.apache.curator.framework.recipes.cache.TestNodeCache$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-recipes\src\test\java\org\apache\curator\framework\recipes\cache\TestNodeCache.java,org.apache.curator.framework.recipes.cache.TestNodeCache$Anonymous4,anonymous,4,4,0,4,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,2,1,0,1,0,0,0,0,8,-1,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-recipes\src\main\java\org\apache\curator\framework\recipes\queue\QueueSharder.java,org.apache.curator.framework.recipes.queue.QueueSharder$State,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-recipes\src\test\java\org\apache\curator\framework\recipes\cache\TestNodeCache.java,org.apache.curator.framework.recipes.cache.TestNodeCache$Anonymous6,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-framework\src\test\java\org\apache\curator\framework\imps\TestReadOnly.java,org.apache.curator.framework.imps.TestReadOnly,class,13,13,0,13,2,1,0,32,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,2,0,4,7,11,0,9,3,1,0,0,32,1,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-framework\src\main\java\org\apache\curator\framework\api\Backgroundable.java,org.apache.curator.framework.api.Backgroundable,interface,2,17,15,2,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-recipes\src\test\java\org\apache\curator\framework\recipes\cache\TestNodeCache.java,org.apache.curator.framework.recipes.cache.TestNodeCache$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\PR\GraphEvoPRV2\projects\curator\curator-60-7\apache-curator-ac57e11\curator-recipes\src\test\java\org\apache\curator\framework\recipes\cache\TestNodeCache.java,org.apache.curator.framework.recipes.cache.TestNodeCache$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
