file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-x-discovery\src\main\java\org\apache\curator\x\discovery\strategies\StickyStrategy.java,org.apache.curator.x.discovery.strategies.StickyStrategy$Anonymous1,getInstances/0,false,68,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-framework\src\main\java\org\apache\curator\framework\imps\TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,TempGetDataBuilderImpl/1[org.apache.curator.framework.imps.CuratorFrameworkImpl],true,36,1,1,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,false
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-framework\src\main\java\org\apache\curator\framework\imps\TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,forPath/1[java.lang.String],false,58,6,8,0,8,2,7,12,1,3,1,7,0,0,0,0,0,0,1,0,3,0,0,1,0,0,12,1,0,false
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-framework\src\main\java\org\apache\curator\framework\imps\TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,storingStatIn/1[org.apache.curator.framework.imps.Stat],false,51,4,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-framework\src\main\java\org\apache\curator\framework\imps\TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,decompressed/0,false,44,3,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-framework\src\test\java\org\apache\curator\framework\imps\TestNeverConnected.java,org.apache.curator.framework.imps.TestNeverConnected,testNeverConnected/0,false,39,11,13,0,13,1,13,23,0,5,0,13,0,0,0,0,1,0,2,3,6,0,1,1,0,0,20,1,0,false
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-client\src\main\java\org\apache\curator\utils\DefaultTracerDriver.java,org.apache.curator.utils.DefaultTracerDriver,"addCount/2[java.lang.String,int]",false,44,0,0,0,0,2,2,5,0,0,2,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,4,1,1,false
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-client\src\main\java\org\apache\curator\utils\DefaultTracerDriver.java,org.apache.curator.utils.DefaultTracerDriver,"addTrace/3[java.lang.String,long,java.util.concurrent.TimeUnit]",false,35,0,0,0,0,2,3,5,0,0,3,3,0,0,0,0,0,0,3,0,0,1,1,0,0,0,4,1,1,false
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-client\src\main\java\org\apache\curator\RetryLoop.java,org.apache.curator.RetryLoop,markComplete/0,false,138,0,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
C:\PR\GraphEvoPRV2\projects\curator\curator-61-9\apache-curator-59bab73\curator-client\src\main\java\org\apache\curator\RetryLoop.java,org.apache.curator.RetryLoop,"RetryLoop/2[org.apache.curator.RetryPolicy,java.util.concurrent.atomic.AtomicReference<org.apache.curator.drivers.TracerDriver>]",true,119,2,3,3,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
