class_name,new,portrait
abstractProducerOf,0,0.0255
aChildMethod,0,0.0236
addBuilderClass,1,
addBuilderFields,0,0.0482
addBuilderMethodReturnStatementForSpec,0,0.0178
addBuilderMethods,0,0.1283
addBuildMethod,0,0.0223
addCallbackTo,0,0.0173
addConstructorParameterAndTypeField,0,0.0174
addField,0,0.0257
addFieldAndConstructorParameter,0,0.0173
addFrameworkField,0,0.0173
addIncludesFromSuperclasses,0,0.0173
addItem,0,0.0173
addSupertype,1,
addTransitiveModules,0,0.0207
aGrandchildMethod,0,0.0175
allStaticModule,0,0.0173
aParentMethod,0,0.0209
apply,0,0.0183
asInheritedIn,0,0.0183
asyncDependencyType,0,0.0173
basicObject_noDeps,0,0.0183
bindingTypeElementTypeVariableNames,0,0.0173
bindingTypeParameters,0,0.0173
booleanArrayProvider,0,0.0175
booleanProvider,0,0.0294
boxedPrimitiveProviders,0,0.0183
boxedPrimitives,0,0.0173
buildCreateMethod,0,0.0237
builderMsgsFor,0,0.0238
buildJavaFile,0,0.0175
byteArrayProvider,0,0.0173
byteProvider,0,0.0174
callServer1,0,0.0212
callServer2,0,0.0175
canonicalName,1,
charArrayProvider,0,0.0175
charProvider,0,0.0173
children,0,0.0174
classFileName,0,0.0908
coffee.CoffeeApp.Coffee,0,0.0183
coffee.CoffeeApp,0,0.0173
coffee.CoffeeMaker,0,0.0173
coffee.DripCoffeeModule,0,0.0173
coffee.ElectricHeater,0,0.0173
coffee.Heater,0,0.0206
coffee.Pump,0,0.0179
coffee.Thermosiphon,0,0.0173
com.example.dagger.activitygraphs.AbstractActivityComponent,0,0.0173
com.example.dagger.activitygraphs.ActivityModule,0,0.0207
com.example.dagger.activitygraphs.ApplicationComponent,0,0.0207
com.example.dagger.activitygraphs.DemoApplication,0,0.0225
com.example.dagger.activitygraphs.DemoApplicationModule,0,0.0175
com.example.dagger.activitygraphs.ui.ActivityTitleController,0,0.0175
com.example.dagger.activitygraphs.ui.HomeActivity,0,0.0179
com.example.dagger.activitygraphs.ui.HomeFragment,0,0.0187
com.example.dagger.simple.AndroidModule,0,0.0175
com.example.dagger.simple.DemoApplication.ApplicationComponent,0,0.0173
com.example.dagger.simple.DemoApplication,0,0.0178
compare,0,0.0173
componentField,1,
compute,0,0.0173
concat,1,
create,0,0.0238
createBuilderSpec,0,0.0207
createForComponent,0,0.0178
createForMapBindingContribution,0,0.0207
createForResolvedBindings,0,0.0173
createForSubcomponent,0,0.0207
createFutureProduced,0,0.0183
createFutureSingletonSet,0,0.0174
createMessage,0,0.0173
createWithTypeFromKey,0,0.0175
cycleHasProviderOrLazy,0,0.0247
d,0,0.0173
dagger.internal.codegen.AbstractComponentWriter,0,0.026
dagger.internal.codegen.Accessibility.ElementAccessibilityVisitor,0,0.0207
dagger.internal.codegen.Accessibility,0,0.0294
dagger.internal.codegen.Accessibility.TypeAccessiblityVisitor,0,0.0294
dagger.internal.codegen.AccessibilityTest,0,0.0201
dagger.internal.codegen.AnnotationSpecs,0,0.0213
dagger.internal.codegen.Binding.Anonymous-93140a04-1b71-4bce-888a-de02473cf291,1,
dagger.internal.codegen.Binding.Anonymous-cce040aa-00d0-448a-8590-6af45d8437c8,1,
dagger.internal.codegen.Binding,0,0.0208
dagger.internal.codegen.BindingFieldTest,0,0.0207
dagger.internal.codegen.BindingGraph.Factory.Resolver.MultibindingDependencies.Anonymous-8afac7c4-08d0-4461-aa12-274c8f130406,1,
dagger.internal.codegen.BindingGraph.Factory.Resolver.MultibindingDependencies.Anonymous-ccdda3bf-3c1f-4701-80b7-0996813bf173,1,
dagger.internal.codegen.BindingGraph.Factory.Resolver,0,0.0206
dagger.internal.codegen.BindingGraph,0,0.0217
dagger.internal.codegen.BindingGraphValidator.ResolvedRequest,0,0.0219
dagger.internal.codegen.BindingGraphValidator,0,0.0228
dagger.internal.codegen.BindingGraphValidator.Validation.Anonymous-3a240653-3866-47cf-8853-abb898874f2d,1,
dagger.internal.codegen.BindingGraphValidator.Validation.Anonymous-c5cdaa3a-f689-4ae4-a44e-79ddcd12888f,1,
dagger.internal.codegen.BindingGraphValidator.Validation.Anonymous-cce70ceb-62e3-43a2-b916-6fa37501a3c4,1,
dagger.internal.codegen.BindingGraphValidator.Validation.Anonymous-d486b8e9-d56a-4b65-a83c-fac332d1de7d,1,
dagger.internal.codegen.BindingGraphValidator.Validation.Anonymous-e9ebf246-1a34-4b80-aac8-d8c44e9847e5,1,
dagger.internal.codegen.BindingGraphValidator.Validation.Anonymous-f981d95e-f130-4284-a337-9108a6c89c9a,1,
dagger.internal.codegen.BindingGraphValidator.Validation,0,0.0254
dagger.internal.codegen.BindingKey,0,0.0294
dagger.internal.codegen.BindingType.HasBindingType,0,0.0175
dagger.internal.codegen.BindingType,0,0.0218
dagger.internal.codegen.BuilderValidator,0,0.0173
dagger.internal.codegen.CodeBlocks,0,0.0236
dagger.internal.codegen.ComponentBuilderTest,0,0.0247
dagger.internal.codegen.ComponentDescriptor.BuilderSpec,0,0.0213
dagger.internal.codegen.ComponentDescriptor.ComponentMethodDescriptor,0,0.0203
dagger.internal.codegen.ComponentDescriptor.ComponentMethodKind,0,0.0173
dagger.internal.codegen.ComponentDescriptor.Factory,0,0.0232
dagger.internal.codegen.ComponentDescriptor.Kind,0,0.0183
dagger.internal.codegen.ComponentDescriptor,0,0.0238
dagger.internal.codegen.ComponentHierarchyValidator,1,
dagger.internal.codegen.ComponentProcessingStep,0,0.0237
dagger.internal.codegen.ComponentProcessor,0,0.0323
dagger.internal.codegen.ComponentProcessorTest.ElementFilteringComponentProcessor.Anonymous-4f69f190-e609-4ba7-ad48-f856e82b5b44,1,
dagger.internal.codegen.ComponentProcessorTest.ElementFilteringComponentProcessor.Anonymous-839919b7-88ed-482c-bd18-c60deec33484,1,
dagger.internal.codegen.ComponentProcessorTest.ElementFilteringComponentProcessor.Anonymous-a3bf497f-7638-4eaf-a7b2-69780dc7f55f,1,
dagger.internal.codegen.ComponentProcessorTest.ElementFilteringComponentProcessor.Anonymous-c00fc758-94c0-4f4c-80df-05d7c33e4f11,1,
dagger.internal.codegen.ComponentProcessorTest.ElementFilteringComponentProcessor.Anonymous-eea83d11-5dd8-47c7-9511-31b925b03137,1,
dagger.internal.codegen.ComponentProcessorTest.ElementFilteringComponentProcessor,0,0.0183
dagger.internal.codegen.ComponentProcessorTest.GeneratingProcessor,0,0.0173
dagger.internal.codegen.ComponentProcessorTest,0,0.0174
dagger.internal.codegen.ComponentValidator.Anonymous-2c8a4bfe-512e-4fb2-87a1-478c02231cfd,1,
dagger.internal.codegen.ComponentValidator.Anonymous-5e9c4786-9403-4c76-bd88-1951a9e5e9cf,1,
dagger.internal.codegen.ComponentValidator.Anonymous-80926d89-49cf-4750-8932-60250a86dd79,1,
dagger.internal.codegen.ComponentValidator.Anonymous-89ea8e25-7b80-4241-b00e-187c9b55b6cb,1,
dagger.internal.codegen.ComponentValidator.ComponentValidationReport,0,0.0174
dagger.internal.codegen.ComponentValidator,0,0.0254
dagger.internal.codegen.ComponentWriter,0,0.0207
dagger.internal.codegen.ComponentWriter.UniqueSubcomponentNamesGenerator,0,0.0173
