class_name,new,portrait
changeProgram,0,0.0002
chooseFixedPreviewFps,0,0.0002
choosePreviewSize,0,0.0002
clearSurface,0,0.0002
clickAbout,0,0.0002
clickBounce,0,0.0155
clickCapture,0,0.0002
clickGc,0,0.0127
clickHalt,0,0.0002
clickPlayStop,0,0.0002
clickRegenerateContent,0,0.0002
clickRunGfxTest,0,0.0002
clickRunTest,0,0.0002
clickSave,0,0.0002
clickStart,0,0.0002
clickToggleRecording,0,0.0002
clickToggleRelease,0,0.0002
com.android.grafika.AspectFrameLayout,0,0.0084
com.android.grafika.CameraCaptureActivity.Anonymous-251cfe07-648d-4afa-90b9-421e1cf3ba80,1,
com.android.grafika.CameraCaptureActivity.Anonymous-67be4a92-e697-4f6a-9e7b-279a616d2356,1,
com.android.grafika.CameraCaptureActivity.Anonymous-9a84f052-6f55-4025-8662-49dd9c1c93ce,1,
com.android.grafika.CameraCaptureActivity.Anonymous-d6f7cfde-b72d-4499-9fb5-93cebede38cc,1,
com.android.grafika.CameraCaptureActivity.CameraHandler,0,0.0002
com.android.grafika.CameraCaptureActivity,0,0.0155
com.android.grafika.CameraSurfaceRenderer,0,0.0428
com.android.grafika.ChorTestActivity.ChorRenderThread,0,0.0155
com.android.grafika.ChorTestActivity,0,0.0002
com.android.grafika.CircularEncoder.Callback,0,0.0097
com.android.grafika.CircularEncoder.EncoderThread,0,0.0002
com.android.grafika.CircularEncoder,0,0.0002
com.android.grafika.CircularEncoderBuffer,0,0.0127
com.android.grafika.CodecOpenActivity,0,0.0165
com.android.grafika.ContentManager.GenerateTask,0,0.0002
com.android.grafika.ContentManager.ProgressUpdater,0,0.0041
com.android.grafika.ContentManager,0,0.0043
com.android.grafika.ContinuousCaptureActivity.MainHandler,0,0.0002
com.android.grafika.ContinuousCaptureActivity,0,0.0156
com.android.grafika.DoubleDecodeActivity.PlayMovieThread,0,0.0002
com.android.grafika.DoubleDecodeActivity,0,0.0002
com.android.grafika.DoubleDecodeActivity.VideoBlob,0,0.0002
com.android.grafika.GeneratedMovie,0,0.0002
com.android.grafika.gles.Drawable2d,0,0.0084
com.android.grafika.gles.EglCore,0,0.0155
com.android.grafika.gles.EglSurfaceBase,0,0.0095
com.android.grafika.gles.FlatShadedProgram,0,0.0002
com.android.grafika.gles.FullFrameRect,0,0.0002
