file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\balance\spi\RandomLoadBalance.java,org.dromara.soul.web.balance.spi.RandomLoadBalance,"doSelect/2[java.util.List<org.dromara.soul.common.dto.convert.DivideUpstream>,java.lang.String]",false,37,1,0,0,0,9,4,22,2,6,2,4,0,0,2,1,0,0,0,6,9,1,3,0,0,0,17,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\balance\spi\RandomLoadBalance.java,org.dromara.soul.web.balance.spi.RandomLoadBalance,algorithm/0,false,75,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,acceptCharset/0,false,243,1,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,range/0,false,269,2,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,accept/0,false,238,2,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,contentType/0,false,259,2,1,0,1,1,3,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,toString/0,false,285,1,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,header/1[java.lang.String],false,274,1,1,0,1,2,3,4,1,1,1,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,5,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,delegate/0,false,233,2,11,10,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,contentLength/0,false,253,1,1,0,1,2,4,4,1,1,0,4,1,1,0,1,0,1,0,1,1,0,0,0,0,0,6,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,host/0,false,264,1,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,asHttpHeaders/0,false,280,2,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\filter\DefaultServerRequest.java,org.dromara.soul.web.filter.DefaultServerRequest$DefaultHeaders,acceptLanguage/0,false,248,1,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-web\src\main\java\org\dromara\soul\web\plugin\SoulPluginChain.java,org.dromara.soul.web.plugin.SoulPluginChain,execute/1[org.dromara.soul.web.plugin.ServerWebExchange],false,31,2,16,16,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,true
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-bootstrap\src\test\java\org\dromara\soul\bootstrap\zookeeper\ZookeeperClientTest.java,org.dromara.soul.bootstrap.zookeeper.ZookeeperClientTest,buildMap/0,false,540,1,3,2,1,1,3,7,1,1,0,3,0,0,0,0,0,0,6,3,1,0,0,0,0,0,5,2,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-bootstrap\src\test\java\org\dromara\soul\bootstrap\zookeeper\ZookeeperClientTest.java,org.dromara.soul.bootstrap.zookeeper.ZookeeperClientTest,buildSpringCloudHandle/0,false,329,4,3,1,2,1,2,7,1,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,10,0,false
C:\opt\GraphEvoPRV2\projects\incubator-shenyu\incubator-shenyu-9-94\apache-incubator-shenyu-8654b55\soul-bootstrap\src\test\java\org\dromara\soul\bootstrap\zookeeper\ZookeeperClientTest.java,org.dromara.soul.bootstrap.zookeeper.ZookeeperClientTest,testWriteDivideSelector/0,false,132,3,2,0,2,1,3,4,0,1,0,3,2,2,0,0,0,0,2,0,1,0,0,0,0,0,10,1,0,true
