[282, 11]
[64, 65]
[61, 176]
[253, 80]
[87, 107]
[127, 135]
[29, 92]
[166, 11]
[113, 114]
[156, 94]
[120, 51]
[27, 22]
[127, 190]
[192, 202]
[291, 72]
[27, 174]
[274, 275]
[86, 97]
[78, 41]
[48, 49]
[86, 18]
[147, 148]
[2, 216]
[211, 212]
[60, 61]
[197, 198]
[58, 329]
[261, 262]
[86, 252]
[38, 39]
[244, 45]
[46, 47]
[160, 31]
[189, 303]
[62, 63]
[19, 177]
[75, 22]
[95, 118]
[77, 101]
[15, 150]
[113, 172]
[117, 72]
[69, 70]
[167, 4]
[143, 5]
[142, 24]
[154, 320]
[224, 104]
[79, 80]
[331, 47]
[72, 71]
[15, 199]
[15, 313]
[61, 118]
[283, 284]
[288, 165]
[61, 325]
[317, 318]
[138, 139]
[277, 24]
[15, 39]
[118, 119]
[255, 11]
[58, 59]
[19, 25]
[77, 47]
[29, 5]
[135, 279]
[135, 95]
[256, 257]
[147, 248]
[131, 132]
[86, 89]
[159, 76]
[133, 134]
[245, 5]
[296, 297]
[15, 16]
[278, 212]
[21, 22]
[239, 7]
[98, 99]
[188, 189]
[25, 177]
[85, 48]
[235, 236]
[144, 76]
[209, 112]
[210, 137]
[19, 213]
[246, 52]
[223, 18]
[12, 13]
[77, 196]
[272, 11]
[15, 73]
[117, 71]
[306, 189]
[151, 54]
[48, 218]
[2, 3]
[87, 52]
[154, 86]
[125, 126]
[186, 21]
[193, 39]
[135, 97]
[88, 5]
[326, 132]
[266, 267]
[36, 37]
[263, 24]
[100, 101]
[286, 84]
[77, 4]
[299, 300]
[77, 172]
[75, 93]
[87, 1]
[210, 139]
[168, 51]
[140, 141]
[129, 130]
[264, 265, 99]
[123, 292]
[167, 150]
[242, 243]
[327, 328]
[21, 93]
[39, 7]
[115, 203]
[164, 165]
[102, 11]
[229, 60]
[191, 167]
[200, 285]
[268, 304]
[27, 93]
[139, 311]
[67, 68]
[99, 216]
[57, 290]
[83, 84]
[64, 123]
[8, 9, 4]
[71, 72]
[118, 63]
[314, 72]
[253, 52]
[167, 199]
[309, 70]
[170, 171]
[111, 112]
[90, 4]
[293, 294]
[324, 104]
[86, 127]
[232, 150]
[61, 62]
[53, 54]
[241, 137]
[15, 230]
[32, 150]
[55, 56]
[310, 150]
[76, 47]
[77, 217]
[105, 93]
[268, 269]
[115, 116]
[110, 37]
[332, 333]
[254, 5]
[94, 7]
[254, 321]
[58, 312]
[58, 227]
[168, 79]
[330, 189]
[182, 183]
[123, 124]
[247, 248]
[103, 104]
[32, 199]
[10, 11]
[178, 179]
[229, 204, 57]
[230, 240]
[27, 28]
[51, 52]
[155, 72]
[194, 130]
[77, 287]
[33, 34]
[74, 11]
[25, 26]
[113, 4]
[305, 11]
[161, 11]
[224, 179]
[192, 122]
[19, 158, 26]
[0, 1]
[237, 60]
[180, 11]
[106, 107]
[200, 201]
[225, 39]
[127, 17, 18]
[159, 39]
[4, 150]
[90, 199]
[143, 47]
[118, 176]
[57, 276]
[219, 220]
[33, 146]
[57, 252]
[100, 228]
[123, 267]
[322, 323]
[259, 260]
[181, 6, 7]
[152, 153]
[237, 57]
[91, 5]
[23, 24]
[127, 200]
[99, 146]
[173, 11]
[214, 215]
[90, 157, 4]
[38, 76]
[176, 118]
[120, 79]
[15, 258]
[302, 281]
[30, 31]
[61, 169]
[129, 281]
[32, 4]
[8, 4]
[100, 217]
[193, 76]
[87, 80]
[246, 80]
[100, 47]
[71, 195]
[128, 107]
[95, 96]
[35, 11]
[298, 126]
[127, 18]
[32, 15]
[225, 76]
[77, 94]
[105, 22]
[44, 45]
[4, 5]
[319, 104]
[205, 206]
[62, 251]
[61, 96]
[315, 316]
[149, 150]
[136, 137]
[40, 41]
[307, 308]
[301, 185]
[295, 11]
[205, 65]
[271, 68]
[247, 148]
[182, 273]
[15, 47]
[100, 287]
[176, 96]
[57, 262]
[270, 4]
[118, 62]
[230, 231]
[91, 92]
[64, 187]
[184, 185]
[167, 15]
[15, 249]
[57, 2]
