class_name,new,portrait
org.apache.commons.lang3.AnnotationUtils,1,0.0227
org.apache.commons.lang3.ArrayUtils,1,0.0225
org.apache.commons.lang3.BitField,1,0.0086
org.apache.commons.lang3.builder.CompareToBuilder,1,0.0017
org.apache.commons.lang3.builder.EqualsBuilder,1,0.0036
org.apache.commons.lang3.builder.HashCodeBuilder,1,0.0034
org.apache.commons.lang3.builder.ReflectionToStringBuilder,1,0.0413
org.apache.commons.lang3.builder.ToStringBuilder,1,0.0635
org.apache.commons.lang3.builder.ToStringStyle,1,0.1102
org.apache.commons.lang3.CharRange,1,0.0029
org.apache.commons.lang3.CharSet,1,0.0027
org.apache.commons.lang3.CharSetUtils,1,0.0035
org.apache.commons.lang3.concurrent.AtomicInitializer,1,0.0006
org.apache.commons.lang3.concurrent.AtomicSafeInitializer,1,0.0006
org.apache.commons.lang3.concurrent.BackgroundInitializer,1,0.006
org.apache.commons.lang3.concurrent.BasicThreadFactory,1,0.003
org.apache.commons.lang3.concurrent.ConcurrentException,1,0.0006
org.apache.commons.lang3.concurrent.ConcurrentUtils,1,0.0006
org.apache.commons.lang3.concurrent.ConstantInitializer,1,0.0023
org.apache.commons.lang3.concurrent.LazyInitializer,1,0.0006
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer,1,0.0054
org.apache.commons.lang3.concurrent.TimedSemaphore,1,0.006
org.apache.commons.lang3.event.EventListenerSupport,1,0.0006
org.apache.commons.lang3.exception.ContextedException,1,0.0006
org.apache.commons.lang3.exception.ContextedRuntimeException,1,0.0006
org.apache.commons.lang3.JavaVersion,1,0.0011
org.apache.commons.lang3.JavaVersion[],1,0.0006
org.apache.commons.lang3.math.Fraction,1,0.0102
org.apache.commons.lang3.mutable.MutableBoolean,1,0.0011
org.apache.commons.lang3.mutable.MutableByte,1,0.0011
org.apache.commons.lang3.mutable.MutableDouble,1,0.0006
org.apache.commons.lang3.mutable.MutableFloat,1,0.0006
org.apache.commons.lang3.mutable.MutableInt,1,0.0011
org.apache.commons.lang3.mutable.MutableLong,1,0.0011
org.apache.commons.lang3.mutable.MutableShort,1,0.0011
org.apache.commons.lang3.Pair,1,0.0011
org.apache.commons.lang3.Range,1,0.0053
org.apache.commons.lang3.StringEscapeUtils,1,0.007
org.apache.commons.lang3.SystemUtils,1,0.0006
org.apache.commons.lang3.text.CompositeFormat,1,0.0011
org.apache.commons.lang3.text.ExtendedMessageFormat,1,0.0017
org.apache.commons.lang3.text.StrBuilder,1,0.1082
org.apache.commons.lang3.text.StrLookup,1,0.0087
org.apache.commons.lang3.text.StrMatcher,1,0.0613
org.apache.commons.lang3.text.StrSubstitutor,1,0.0682
org.apache.commons.lang3.text.StrTokenizer,1,0.0272
org.apache.commons.lang3.text.translate.AggregateTranslator,1,0.0006
org.apache.commons.lang3.text.translate.CharSequenceTranslator,1,0.0076
org.apache.commons.lang3.text.translate.UnicodeUnescaper,1,0.0006
org.apache.commons.lang3.time.DateFormatUtils,1,0.0011
org.apache.commons.lang3.time.FastDateFormat,1,0.0068
org.apache.commons.lang3.time.StopWatch,1,0.0025
