[236, 237]
[64, 65]
[28, 237]
[111, 14]
[2, 49]
[49, 290]
[321, 322]
[172, 173]
[20, 361]
[14, 229]
[80, 81]
[274, 275]
[72, 73]
[72, 97]
[289, 310]
[365, 8]
[39, 297]
[147, 148]
[90, 33]
[90, 69]
[27, 324]
[291, 292]
[356, 242, 66]
[177, 106]
[261, 262]
[26, 263]
[26, 155]
[105, 106]
[341, 139]
[273, 144]
[245, 100]
[334, 335]
[56, 10]
[46, 47]
[185, 186]
[9, 10]
[180, 104]
[70, 71]
[44, 331]
[315, 60]
[78, 79]
[232, 125]
[84, 85]
[7, 297]
[262, 348]
[142, 143]
[227, 228]
[169, 67]
[13, 12]
[198, 199]
[91, 17]
[86, 87]
[100, 359]
[32, 148]
[156, 71]
[59, 60]
[53, 264]
[159, 160]
[265, 332]
[138, 139]
[349, 190]
[68, 21]
[252, 253]
[182, 42]
[76, 77]
[182, 144]
[63, 27]
[66, 67]
[30, 320]
[114, 115]
[263, 55]
[287, 288]
[233, 279]
[169, 260]
[35, 77]
[220, 221]
[317, 89]
[91, 319]
[194, 195]
[273, 42]
[49, 50]
[317, 123]
[240, 21]
[49, 74]
[53, 162]
[40, 12]
[86, 158]
[33, 21]
[146, 300]
[41, 144]
[2, 69]
[32, 222]
[34, 74]
[314, 100]
[224, 118]
[2, 33]
[114, 346]
[244, 12]
[30, 95]
[14, 79]
[38, 12]
[181, 213]
[286, 74]
[22, 23]
[56, 13]
[14, 31]
[53, 74]
[39, 40]
[136, 276, 33]
[187, 144]
[2, 3]
[326, 327]
[7, 8]
[248, 128]
[11, 12]
[33, 3]
[165, 166]
[49, 119]
[16, 319]
[48, 297]
[95, 219]
[70, 257]
[323, 253]
[88, 89]
[181, 30]
[296, 97]
[265, 266]
[27, 214]
[98, 97]
[98, 73]
[296, 73]
[93, 3]
[36, 37]
[363, 173]
[171, 2]
[44, 73]
[92, 17]
[179, 61]
[44, 97]
[367, 368]
[282, 283]
[88, 123]
[14, 146]
[62, 42]
[140, 141]
[134, 251]
[204, 310]
[122, 33]
[26, 27]
[49, 293]
[96, 305]
[202, 203]
[293, 308]
[158, 77]
[26, 214]
[299, 272]
[147, 33]
[124, 125]
[104, 278]
[210, 211]
[32, 33]
[224, 151]
[16, 17]
[132, 133]
[57, 58]
[255, 256]
[109, 149]
[9, 61]
[95, 254]
[187, 42]
[76, 12]
[191, 192]
[153, 12]
[137, 65]
[122, 154, 33]
[16, 316]
[357, 358]
[17, 77]
[30, 305]
[293, 294]
[255, 309]
[234, 235]
[49, 372]
[364, 139]
[285, 176]
[306, 307]
[132, 168]
[53, 54]
[53, 222]
[107, 108]
[22, 241]
[32, 162]
[7, 39]
[32, 295]
[339, 340]
[87, 158]
[42, 74]
[268, 269]
[179, 10]
[238, 239]
[183, 184]
[254, 280]
[196, 139]
[167, 25]
[233, 21]
[208, 374]
[261, 192]
[161, 6]
[58, 106]
[156, 257]
[208, 209]
[249, 250]
[111, 112, 26]
[103, 104]
[351, 247]
[113, 58]
[225, 141]
[225, 153]
[344, 283]
[33, 4, 3]
[27, 342]
[116, 100]
[230, 1]
[6, 65]
[204, 108]
[51, 52]
[214, 342]
[35, 12]
[304, 65]
[254, 366]
[188, 3]
[90, 3]
[30, 219]
[136, 69]
[63, 55]
[263, 27]
[100, 243]
[281, 58]
[350, 19]
[0, 1]
[41, 42]
[48, 40]
[114, 373]
[244, 313]
[38, 77]
[84, 325]
[136, 33]
[96, 63]
[205, 106]
[43, 33]
[347, 262]
[301, 302]
[48, 8]
[265, 333]
[146, 231]
[321, 338]
[66, 300]
[157, 115]
[10, 77]
[26, 267]
[14, 15]
[124, 277]
[131, 65]
[27, 263]
[18, 19]
[214, 174]
[11, 77]
[289, 108]
[28, 284]
[9, 13]
[30, 31]
[38, 313]
[90, 49]
[127, 128]
[371, 72]
[312, 253]
[329, 330]
[355, 160]
[362, 319]
[34, 21]
[95, 96]
[255, 29]
[271, 272]
[369, 370]
[92, 316]
[152, 3]
[20, 21]
[178, 81]
[175, 176]
[244, 77]
[343, 253]
[96, 201]
[311, 279]
[246, 247]
[32, 74]
[95, 345]
[206, 207]
[336, 58]
[1, 109]
[87, 153]
[316, 12]
[44, 45]
[28, 29]
[32, 264]
[197, 145]
[99, 100]
[360, 66]
[226, 61]
[189, 269]
[120, 121]
[5, 6]
[200, 123]
[109, 110]
[49, 144]
[208, 37]
[306, 309]
[189, 190]
[258, 6]
[60, 75]
[26, 55]
[86, 141]
[311, 21]
[24, 25]
[144, 145]
[179, 56]
[297, 77]
[65, 106]
[354, 6]
[225, 158]
[318, 106]
[328, 221]
[91, 92]
[353, 104]
[124, 298]
[270, 239]
[254, 375]
[255, 306]
