class_name,new,portrait
org.apache.commons.lang.ArrayUtils,1,0.0215
org.apache.commons.lang.BitField,1,0.008
org.apache.commons.lang.builder.CompareToBuilder,1,0.0011
org.apache.commons.lang.builder.EqualsBuilder,1,0.0028
org.apache.commons.lang.builder.HashCodeBuilder,1,0.0021
org.apache.commons.lang.builder.ReflectionToStringBuilder,1,0.0536
org.apache.commons.lang.builder.ToStringBuilder,1,0.0358
org.apache.commons.lang.builder.ToStringStyle,1,0.0981
org.apache.commons.lang.CharRange,1,0.0027
org.apache.commons.lang.CharSet,1,0.0023
org.apache.commons.lang.CharSetUtils,1,0.0032
org.apache.commons.lang.Entities,1,0.0048
org.apache.commons.lang.enum.Enum,1,0.0027
org.apache.commons.lang.enum.ValuedEnum,1,0.0022
org.apache.commons.lang.enums.Enum,1,0.0027
org.apache.commons.lang.enums.ValuedEnum,1,0.0022
org.apache.commons.lang.exception.NestableDelegate,1,0.0247
org.apache.commons.lang.exception.NestableError,1,0.007
org.apache.commons.lang.exception.NestableException,1,0.007
org.apache.commons.lang.exception.NestableRuntimeException,1,0.007
org.apache.commons.lang.IntHashMap,1,0.0011
org.apache.commons.lang.math.DoubleRange,1,0.0066
org.apache.commons.lang.math.FloatRange,1,0.0066
org.apache.commons.lang.math.Fraction,1,0.0089
org.apache.commons.lang.math.IntRange,1,0.0066
org.apache.commons.lang.math.LongRange,1,0.0066
org.apache.commons.lang.math.Range,1,0.0406
org.apache.commons.lang.mutable.MutableBoolean,1,0.0005
org.apache.commons.lang.mutable.MutableByte,1,0.0011
org.apache.commons.lang.mutable.MutableDouble,1,0.0005
org.apache.commons.lang.mutable.MutableFloat,1,0.0005
org.apache.commons.lang.mutable.MutableInt,1,0.0011
org.apache.commons.lang.mutable.MutableLong,1,0.0011
org.apache.commons.lang.mutable.MutableShort,1,0.0011
org.apache.commons.lang.NotImplementedException,1,0.007
org.apache.commons.lang.NumberRange,1,0.0016
org.apache.commons.lang.StringEscapeUtils,1,0.0044
org.apache.commons.lang.text.CompositeFormat,1,0.0011
org.apache.commons.lang.text.StrBuilder,1,0.0693
org.apache.commons.lang.text.StrLookup,1,0.0045
org.apache.commons.lang.text.StrMatcher,1,0.0316
org.apache.commons.lang.text.StrSubstitutor,1,0.0444
org.apache.commons.lang.text.StrTokenizer,1,0.0255
org.apache.commons.lang.time.DateFormatUtils,1,0.0011
org.apache.commons.lang.time.FastDateFormat,1,0.0044
org.apache.commons.lang.time.StopWatch,1,0.0011
