class_name,new,portrait
org.apache.commons.math3.analysis.differentiation.DerivativeStructure,1,0.0114
org.apache.commons.math3.analysis.differentiation.DSCompiler,1,0.0102
org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,1,0.0006
org.apache.commons.math3.analysis.differentiation.GradientFunction,1,0.0001
org.apache.commons.math3.analysis.differentiation.JacobianFunction,1,0.0001
org.apache.commons.math3.analysis.function.Acos,1,0.0003
org.apache.commons.math3.analysis.function.Acosh,1,0.0001
org.apache.commons.math3.analysis.function.Asin,1,0.0003
org.apache.commons.math3.analysis.function.Asinh,1,0.0001
org.apache.commons.math3.analysis.function.Atan,1,0.0003
org.apache.commons.math3.analysis.function.Atanh,1,0.0001
org.apache.commons.math3.analysis.function.Cbrt,1,0.0002
org.apache.commons.math3.analysis.function.Constant,1,0.0002
org.apache.commons.math3.analysis.function.Cos,1,0.0003
org.apache.commons.math3.analysis.function.Cosh,1,0.0001
org.apache.commons.math3.analysis.function.Exp,1,0.0003
org.apache.commons.math3.analysis.function.Expm1,1,0.0001
org.apache.commons.math3.analysis.function.Gaussian,1,0.0002
org.apache.commons.math3.analysis.function.HarmonicOscillator,1,0.0002
org.apache.commons.math3.analysis.function.Inverse,1,0.0003
org.apache.commons.math3.analysis.function.Log,1,0.0014
org.apache.commons.math3.analysis.function.Log10,1,0.0001
org.apache.commons.math3.analysis.function.Log1p,1,0.0001
org.apache.commons.math3.analysis.function.Logistic,1,0.0007
org.apache.commons.math3.analysis.function.Logit,1,0.0002
org.apache.commons.math3.analysis.function.Minus,1,0.0
org.apache.commons.math3.analysis.function.Power,1,0.0004
org.apache.commons.math3.analysis.function.Sigmoid,1,0.0002
org.apache.commons.math3.analysis.function.Sin,1,0.0005
org.apache.commons.math3.analysis.function.Sinc,1,0.0002
org.apache.commons.math3.analysis.function.Sinh,1,0.0001
org.apache.commons.math3.analysis.function.Sqrt,1,0.0002
org.apache.commons.math3.analysis.function.Tan,1,0.0003
org.apache.commons.math3.analysis.function.Tanh,1,0.0001
org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator,1,0.001
org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,1,0.0006
