file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,getCenterLongitude/0,false,73,0,3,3,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,getWestLongitude/0,false,57,0,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,getNorthLatitude/0,false,77,0,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,getLatitudeHeight/0,false,61,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,getCenterLatitude/0,false,69,0,3,3,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,getSouthLatitude/0,false,53,0,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,getLongitudeWidth/0,false,65,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,"CodeArea/4[java.math.BigDecimal,java.math.BigDecimal,java.math.BigDecimal,java.math.BigDecimal]",true,46,0,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\OpenLocationCode.java,codes.plus.OpenLocationCode$CodeArea,getEastLongitude/0,false,81,0,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\tests\ValidityTest.java,codes.plus.tests.ValidityTest,testIsShort/0,false,60,2,1,0,1,2,2,5,0,0,0,2,0,0,1,0,0,0,2,0,0,1,1,0,0,0,9,1,0,false
C:\PR\GraphEvoPRV3\projects\open-location-code\open-location-code-2-32\google-open-location-code-d56e6c0\java\codes\plus\tests\ValidityTest.java,codes.plus.tests.ValidityTest,testIsValid/0,false,51,2,1,0,1,2,2,5,0,0,0,2,0,0,1,0,0,0,2,0,0,1,1,0,0,0,9,1,0,false
