class_name,new,portrait
afterTextChanged,0,0.0001
com.google.openlocationcode.EncodingTest,0,0.0001
com.google.openlocationcode.OpenLocationCode.CodeArea,0,0.0001
com.google.openlocationcode.OpenLocationCode,0,0.0001
com.google.openlocationcode.PrecisionTest,0,0.0001
com.google.openlocationcode.RecoverTest,0,0.0001
com.google.openlocationcode.ShorteningTest,0,0.0001
com.google.openlocationcode.ValidityTest,0,0.0001
com.openlocationcode.android.code.CodeContract.ActionsListener,0,0.0001
com.openlocationcode.android.code.CodePresenter,0,0.0001
com.openlocationcode.android.code.CodeView,0,0.0001
com.openlocationcode.android.code.OpenLocationCodeUtil,0,0.0001
com.openlocationcode.android.current.GoogleApiModule,0,0.0001
com.openlocationcode.android.current.LocationProvider.LocationCallback,0,0.0001
com.openlocationcode.android.current.LocationProvider,0,0.0001
com.openlocationcode.android.current.LocationProviderFactoryComponent,0,0.0001
com.openlocationcode.android.current.LocationUtil,0,0.0001
com.openlocationcode.android.direction.Direction,0,0.0001
com.openlocationcode.android.direction.DirectionContract.View,0,0.0001
com.openlocationcode.android.direction.DirectionView,0,0.0001
com.openlocationcode.android.localities.Locality,0,0.0001
com.openlocationcode.android.main.MainActivity.Anonymous-8a5c7058-48c7-4080-b79c-f8dc8e62ac8b,1,
com.openlocationcode.android.main.MainActivity,0,0.0001
com.openlocationcode.android.main.MainPresenter,0,0.0001
com.openlocationcode.android.map.MapContract.ActionsListener,0,0.0001
com.openlocationcode.android.map.MapContract.View,0,0.0001
com.openlocationcode.android.map.MapPresenter,0,0.0001
com.openlocationcode.android.map.MyMapView.Anonymous-cba28e20-12d8-4f82-80b8-8ad98cb94db8,1,
com.openlocationcode.android.map.MyMapView,0,0.0001
com.openlocationcode.android.search.SearchContract.ActionsListener,0,0.0001
com.openlocationcode.android.search.SearchContract.SourceView,0,0.0001
com.openlocationcode.android.search.SearchPresenter,0,0.0001
com.openlocationcode.android.search.SearchView,0,0.0001
currentLocationUpdated,0,0.0001
directionUpdated,0,0.0001
displayCode,0,0.0001
drawCodeArea,0,0.0001
getAllLocalitiesForSearchDisplay,0,0.0001
getDirection,0,0.0001
getNearestLocality,0,0.0001
getStatusBarHeight,0,0.0001
handleGeoIntent,0,0.0001
handleNewLocation,0,0.0001
isBetterLocation,0,0.0001
moveMapToLocation,0,0.0001
onAccuracyChanged,0,0.0001
onCameraChange,0,0.0001
onClick,0,0.0001
onConnected,0,0.0001
onConnectionFailed,0,0.0001
onCreate,0,0.0001
onCreateView,0,0.0001
onDismiss,0,0.0001
onEditorAction,0,0.0001
onFocusChange,0,0.0001
onItemClick,0,0.0001
onKeyPreIme,0,0.0001
onLocationChanged,0,0.0001
onMapReady,0,0.0001
onMenuItemClick,0,0.0001
onProviderDisabled,0,0.0001
onProviderEnabled,0,0.0001
onRestoreInstanceState,0,0.0001
onSaveInstanceState,0,0.0001
onSensorChanged,0,0.0001
onStatusChanged,0,0.0001
onTouch,0,0.0001
setActionsListener,0,0.0001
setImeBackListener,0,0.0001
setListener,0,0.0001
showSearchCode,0,0.0001
