file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\test\java\com\google\api\graphql\rejoiner\GqlInputConverterTest.java,com.google.api.graphql.rejoiner.GqlInputConverterTest,class,7,7,0,7,4,1,0,19,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,0,0,0,15,2,7,0,7,0,0,0,0,26,17,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\Type.java,com.google.api.graphql.rejoiner.Type$AbstractTypeModification,innerclass,3,3,0,3,3,1,0,7,1,0.33333334,0.0,0.0,3,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,19,1033,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\library\graphqlserver\BookClientModule.java,com.google.api.graphql.examples.library.graphqlserver.BookClientModule,class,3,4,1,3,1,2,0,7,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,2,2,0,2,0,0,2,0,0,9,0,0,0,0,0,1,1,3,0,3,0,0,0,0,16,16,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\library\graphqlserver\GraphQlServer.java,com.google.api.graphql.examples.library.graphqlserver.GraphQlServer$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\ProtoToGql.java,com.google.api.graphql.rejoiner.ProtoToGql$FieldConverter$ProtoDataFetcher,innerclass,8,8,0,8,12,1,0,10,1,0.33333334,NaN,NaN,3,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,44,7,0,2,1,2,4,0,6,3,5,2,0,0,0,36,10,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\Type.java,com.google.api.graphql.rejoiner.Type$AddField,innerclass,3,3,0,3,2,2,0,3,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,10,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\library\graphqlserver\BookSchemaModule.java,com.google.api.graphql.examples.library.graphqlserver.BookSchemaModule,class,11,12,1,11,3,3,0,3,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,24,16,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\helloworld\graphqlserver\HelloWorldClientModule.java,com.google.api.graphql.examples.helloworld.graphqlserver.HelloWorldClientModule,class,3,4,1,3,1,2,0,6,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,2,2,0,2,0,0,2,0,0,8,0,0,0,0,0,1,1,3,0,3,0,0,0,0,23,16,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\grpc\RejoinerStreamingContext.java,com.google.api.graphql.grpc.RejoinerStreamingContext,class,5,8,3,5,6,1,0,4,6,0.6,0.0,0.0,5,1,4,0,0,1,5,1,0,0,2,0,0,2,0,0,2,0,0,19,1,0,0,0,0,0,4,2,0,2,1,0,0,0,24,1025,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\test\java\com\google\api\graphql\rejoiner\SchemaModuleTest.java,com.google.api.graphql.rejoiner.SchemaModuleTest$Anonymous10,anonymous,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,-1,0
