class_name,new,portrait
add,0,0.0327
addAll,0,0.0054
addExtraType,1,
addField,0,0.0054
addFields,0,0.0048
addMutation,1,
addMutationList,1,
addQuery,1,
addQueryList,1,
apiFutureToListenableFuture,1,
apply,0,0.041
buildMessage,0,0.0047
buildValue,0,0.0047
com.google.api.graphql.examples.helloworld.backend.HelloWorldServer.Anonymous-a9a7b831-ebc0-42a8-b0d9-09b1297983b2,1,
com.google.api.graphql.examples.helloworld.backend.HelloWorldServer,0,0.0321
com.google.api.graphql.examples.helloworld.graphqlserver.GraphQlHandler,0,0.0059
com.google.api.graphql.examples.helloworld.graphqlserver.GraphQlServer,0,0.033
com.google.api.graphql.examples.helloworld.graphqlserver.HelloWorldClientModule,0,0.005
com.google.api.graphql.examples.library.bookbackend.BookServer,0,0.0242
com.google.api.graphql.examples.library.bookbackend.BookService,0,0.0048
com.google.api.graphql.examples.library.graphqlserver.client.BookClientModule,0,0.0047
com.google.api.graphql.examples.library.graphqlserver.client.ClientModule,0,0.0047
com.google.api.graphql.examples.library.graphqlserver.client.ShelfClientModule,0,0.038
com.google.api.graphql.examples.library.graphqlserver.GraphQlServer,0,0.0047
com.google.api.graphql.examples.library.graphqlserver.GraphQlServlet,0,0.0303
com.google.api.graphql.examples.library.graphqlserver.schema.SchemaModule,0,0.0392
com.google.api.graphql.examples.library.shelfbackend.ShelfServer,0,0.0048
com.google.api.graphql.examples.library.shelfbackend.ShelfService,0,0.0392
com.google.api.graphql.examples.streaming.backend.HelloWorldServer.Anonymous-564047b3-7b9c-4bfc-84fc-672722f8f564,1,
com.google.api.graphql.examples.streaming.backend.HelloWorldServer,0,0.0319
com.google.api.graphql.examples.streaming.graphqlclient.GraphQlGrpcClient,0,0.0047
com.google.api.graphql.examples.streaming.graphqlserver.GraphQlGrpcServer.Anonymous-f2d10f1a-15ce-4f6a-8967-8cd3acf42de0,1,
com.google.api.graphql.examples.streaming.graphqlserver.GraphQlGrpcServer,0,0.0263
com.google.api.graphql.examples.streaming.graphqlserver.HelloWorldClientModule,0,0.0047
com.google.api.graphql.execution.GuavaListenableFutureSupport,0,0.0047
com.google.api.graphql.grpc.GraphQlStreamObserver,0,0.005
com.google.api.graphql.grpc.QueryResponseToProto,0,0.0047
com.google.api.graphql.grpc.QueryResponseToProtoJson,0,0.005
com.google.api.graphql.grpc.QueryResponseToProtoTest,0,0.0048
com.google.api.graphql.grpc.RejoinerStreamingContext,0,0.005
com.google.api.graphql.grpc.SchemaToProtoTest,0,0.0327
com.google.api.graphql.rejoiner.GaxSchemaModule,1,
com.google.api.graphql.rejoiner.GqlInputConverter.Builder,0,0.0048
com.google.api.graphql.rejoiner.GqlInputConverter,0,0.0054
com.google.api.graphql.rejoiner.GqlInputConverterTest,0,0.0327
com.google.api.graphql.rejoiner.NodeDataFetcher,0,0.0047
com.google.api.graphql.rejoiner.ProtoRegistry.Builder,0,0.0048
com.google.api.graphql.rejoiner.ProtoRegistry,0,0.038
com.google.api.graphql.rejoiner.ProtoRegistryTest,0,0.005
com.google.api.graphql.rejoiner.ProtoToGql.FieldConverter.ProtoDataFetcher,0,0.005
com.google.api.graphql.rejoiner.ProtoToGqlTest,0,0.0392
com.google.api.graphql.rejoiner.RejoinerIntegrationTest.GreetingsSchemaModule,0,0.033
com.google.api.graphql.rejoiner.RejoinerIntegrationTest,0,0.005
com.google.api.graphql.rejoiner.SchemaModule.MethodMetadata,0,0.0054
com.google.api.graphql.rejoiner.SchemaModule,0,0.0889
com.google.api.graphql.rejoiner.SchemaModuleTest,0,0.0327
com.google.api.graphql.rejoiner.SchemaProviderModule.SchemaImpl,0,0.005
com.google.api.graphql.rejoiner.SchemaProviderModule,0,0.005
com.google.api.graphql.rejoiner.SchemaProviderModuleTest,0,0.0392
com.google.api.graphql.rejoiner.Type.AbstractTypeModification,0,0.0048
com.google.api.graphql.rejoiner.Type.ModifiableType,0,0.041
com.google.api.graphql.rejoiner.Type,0,0.0047
com.google.api.graphql.rejoiner.TypeModification,0,0.0048
com.google.api.graphql.rejoiner.TypeTest,0,0.005
com.google.api.graphql.schema.cloud.container.ContainerClientModule,1,
com.google.api.graphql.schema.cloud.container.ContainerSchemaModule,1,
com.google.api.graphql.schema.firestore.FirestoreClientModule,1,
com.google.api.graphql.schema.firestore.FirestoreSchemaModule,1,
com.google.api.graphql.schema.FuturesConverter,1,
com.google.GraphQlServer,1,
com.google.GraphQlServlet,1,
configureServlets,0,0.0048
convert,0,0.0392
convertType,0,0.0047
create,0,0.0054
createArgument,0,0.0047
createBook,0,0.0392
createBookAndAddToShelf,0,0.0047
createProtoBuf,0,0.005
createShelf,0,0.005
dataLoaderRegistry,0,0.0263
deleteBook,0,0.005
deleteShelf,0,0.0048
doPost,0,0.005
execute,0,0.0047
extractDependencies,0,0.0048
find,0,0.033
get,0,0.0047
getAllTypes,0,0.0048
getBook,0,0.0047
getData,0,0.041
getEnumMap,0,0.0047
getField,0,0.005
getFieldMaskForProto,0,0.0054
getFieldType,0,0.005
getInjector,0,0.0392
getInputType,0,0.0263
getInputTypeReference,0,0.005
getJspb,0,0.0242
getMap,0,0.005
getMethodMetadata,0,0.0047
getMethods,1,
getParameterValue,0,0.0048
getPathsForProto,0,0.038
getReference,0,0.0047
getReferenceName,0,0.005
