class_name,new,portrait
accept,0,0.0005
addArgumentToSequence,0,0.0
addChild,0,0.0
addExpectedResult,0,0.0005
addItem,0,0.0
addNodeToTuple,0,0.0
adjustDateTimeToTimezone,0,0.0
afce,0,0.0001
appendArgument,0,0.0
appendArguments,0,0.0001
appendFunction,0,0.0
arithmeticOperation,0,0.0001
arraysEqual,0,0.0001
assembleResult,0,0.0005
assignFunctionExpressions,0,0.0001
atomicValues,1,
atomize,0,0.0001
atomizeNode,0,0.0005
bindVariable,0,0.0
buildConcatenationRec,0,0.0001
buildElement,0,0.0005
buildStringConcatenation,0,0.0001
canBeNull,0,0.0
cast,0,0.0001
castable,0,0.0001
ce,0,0.0005
checkAllFunctionExpressions,0,0.0001
checkSubString,0,0.0005
close,0,0.0
compare,0,0.0
compareKeys,0,0.0005
compareTaggedValues,0,0.0
compareTo,0,0.0
compile,0,0.0001
compute,0,0.0001
computeFDs,0,0.0
computePropertiesVector,0,0.0005
constructNode,0,0.0
convertAlgebricksExpression,0,0.0
convertAnyURI,0,0.0
convertBase64Binary,0,0.0
convertBoolean,0,0.0
convertByte,0,0.0
convertDate,0,0.0001
convertDatetime,0,0.0
convertDecimal,0,0.0
convertDouble,0,0.0
convertDoubleCanonical,0,0.0001
convertDTDuration,0,0.0005
convertDuration,0,0.0
convertEntity,0,0.0005
convertFloat,0,0.0
convertFloatCanonical,0,0.0
convertFunctionToAlgebricksExpression,0,0.0
convertGDay,0,0.0
convertGMonth,0,0.0005
convertGMonthDay,0,0.0
convertGYear,0,0.0
convertGYearMonth,0,0.0005
convertHexBinary,0,0.0
convertID,0,0.0
convertIDREF,0,0.0
convertInt,0,0.0001
convertInteger,0,0.0
convertLanguage,0,0.0
convertLong,0,0.0
convertName,0,0.0
convertNCName,0,0.0
convertNegativeInteger,0,0.0001
convertNMToken,0,0.0
convertNonNegativeInteger,0,0.0001
convertNonPositiveInteger,0,0.0
convertNormalizedString,0,0.0
convertNotation,0,0.0
convertNull,0,0.0
convertPositiveInteger,0,0.0001
convertQName,0,0.0001
convertShort,0,0.0
convertString,0,0.0
convertStringExtra,0,0.0001
convertTime,0,0.0001
convertToken,0,0.0
convertToText,0,0.0005
convertUnsignedByte,0,0.0
convertUnsignedInt,0,0.0
convertUnsignedLong,0,0.0001
convertUnsignedShort,0,0.0001
convertUntypedAtomic,0,0.0001
convertYMDuration,0,0.0
copyAttribute,0,0.0
copyComment,0,0.0005
copyDocument,0,0.0
copyElement,0,0.0
copyPI,0,0.0
copyText,0,0.0001
create,0,0.0001
createAggregateEvaluator,0,0.0001
createAggregateEvaluatorFactory,0,0.0001
createAggregateFunctionFactory,0,0.0
createArgumentEvaluatorFactories,0,0.0001
createAssignment,0,0.0
createBinaryBooleanInspector,0,0.0
createBinaryIntegerInspector,0,0.0
createBuiltinEntry,0,0.0005
createConcatenation,0,0.0
createDynamicContext,0,0.0
createEvaluator,0,0.0
createEvaluatorFactory,0,0.0005
createException,0,0.0
createFunctionCall,0,0.0
createGlobalJobData,0,0.0001
createInstance,0,0.0
createItemType,0,0.0
createOptimizationContext,0,0.0001
createPointable,0,0.0
createPushRuntime,0,0.0
createQName,0,0.0
createRecordReader,0,0.0
createRunner,0,0.0001
createRunningAggregateFunctionFactory,0,0.0005
createScalarEvaluator,0,0.0
createScalarEvaluatorFactory,0,0.0
createSequenceType,0,0.0001
createSerializableAggregateFunctionFactory,0,0.0005
createUnnestingEvaluator,0,0.0001
createUnnestingEvaluatorFactory,0,0.0001
createUnnestingFunctionFactory,0,0.0
data,0,0.0001
decimalToScientificNotn,0,0.0
encodeSequenceType,0,0.0005
endAttribute,0,0.0001
endChild,0,0.0001
endChildInParent,0,0.0
evaluate,0,0.0
evaluateTaggedValueArgument2,0,0.0
fail,0,0.0005
findAllFunctionExpressions,0,0.0
findAttributeChildren,0,0.0
findFirstFunctionExpression,0,0.0005
findLastFunctionExpression,0,0.0005
findLastSubplanOperator,0,0.0001
findProducerOf,0,0.0
findSequenceAggregateOperator,0,0.0001
findVariableExpression,0,0.0005
findVariableExpressions,0,0.0
finish,0,0.0
finishPartial,0,0.0
freeENB,0,0.0
getAggregateFunction,0,0.0005
getAggregateOperator,0,0.0
getArgument,0,0.0
getAssignOperator,0,0.0
getAttributeChunkOffset,0,0.0
getAttributeChunkSize,0,0.0
getAttributeSequence,0,0.0
getBaseTypeForArithmetics,0,0.0001
getBooleanValue,0,0.0005
getBuiltIn,0,0.0
getBuiltinBaseType,0,0.0
getBytes,0,0.0001
getCardinalityOperatorMap,0,0.0
getCastToOperator,0,0.0001
getChildrenChunkOffset,0,0.0001
getChildrenChunkSize,0,0.0001
getChildrenSequence,0,0.0001
getCollectionName,0,0.0005
getConstantAsPointable,0,0.0001
getContent,0,0.0
getContentOffset,0,0.0
getContentSize,0,0.0
getCurrentDateTime,0,0.0
getDecimalPointable,0,0.0
getDeleteRuntime,0,0.0
getDocumentOrderOperatorVariableMap,0,0.0
getDoublePointable,0,0.0
getEntry,0,0.0
getExpressionOf,0,0.0
getExpressions,0,0.0
getFixedLength,0,0.0001
getFunctionIdentifier,0,0.0005
getGroupByOperator,0,0.0001
getIndexBuilder,0,0.0
getIndexDeleteRuntime,0,0.0001
getIndexInsertRuntime,0,0.0001
getInputOperator,0,0.0001
getInsertRuntime,0,0.0001
getIntegerPointable,0,0.0
getIntegerValue,0,0.0001
getIntParameter,0,0.0
getKeys,0,0.0001
getLength,0,0.0
getLocalName,0,0.0
getLocalNodeId,0,0.0
getLocalNodeIdOffset,0,0.0
getLocalNodeIdSize,0,0.0001
getLongFromArgument,0,0.0001
getName,0,0.0001
getNamespaceChunkOffset,0,0.0
getNamespaceChunkSize,0,0.0
getNamespaceEntryCount,0,0.0001
getNamespacePrefixCode,0,0.0
getNamespaceURICode,0,0.0
getNodeTestFilter,0,0.0001
getNonOptionalType,0,0.0005
getOperator,0,0.0
getOperatorSortDistinctNodesAscOrAtomicsArgumentVariableId,0,0.0005
getOrderOperator,0,0.0001
getOutputSequenceType,0,0.0
getPrefix,0,0.0
getProducedVariablesInDescendantsAndSelf,0,0.0
getProducerCardinality,0,0.0
getProducerDocumentOrderVariableMap,0,0.0005
getProducerUniqueNodesVariableMap,0,0.0
getResultHandleRuntime,0,0.0005
getRootNode,0,0.0001
getScannerRuntime,0,0.0
getSequence,0,0.0
getSequenceQuantifier,0,0.0
getSequenceType,0,0.0005
getSerializerDeserializer,0,0.0
getSize,0,0.0
getStart,0,0.0005
getString,0,0.0
getStringFromBuffer,0,0.0
getStringFromPointable,0,0.0
getTaggedValuePointable,0,0.0
getTarget,0,0.0001
getTargetOffset,0,0.0001
getTargetSize,0,0.0
getTimezone,0,0.0001
getTokenizerRuntime,0,0.0
getType,0,0.0001
getTypeExpressionTypeArgument,0,0.0001
getTypeName,0,0.0
getTypeSize,0,0.0
getTypeTrait,0,0.0
getTypeTraits,0,0.0
getUniqueNodesOperatorVariableMap,0,0.0
getUnnestOperator,0,0.0
getUri,0,0.0
getUtcTimezoneDateTime,0,0.0
getValue,0,0.0
getValueAsInteger,0,0.0
getValueOffset,0,0.0001
getValueSize,0,0.0005
getWriteFileRuntime,0,0.0
getWriteResultRuntime,0,0.0
handle,0,0.0
identifiesPathStep,0,0.0
identifiesTypeOperator,0,0.0001
indexXmlFiles,0,0.0005
init,0,0.0
initialize,0,0.0
inlineVariables,0,0.0001
instanceOf,0,0.0
isBuiltinType,0,0.0001
isChild,0,0.0001
isDirectChildAttribute,0,0.0001
isDuplicate,0,0.0
isFixedLength,0,0.0
isForwardAxis,0,0.0
isFunctional,0,0.0001
isFunctionExpression,0,0.0001
isSubtypeTypeOf,0,0.0005
itemSequenceTypeMatch,0,0.0
iterateOver,0,0.0005
lookup,0,0.0
lookupFunction,0,0.0001
lookupSequenceType,0,0.0001
lookupString,0,0.0001
lookupVariable,0,0.0
makeNullableType,0,0.0
matchesAllInstances,0,0.0
matchesAllInstancesOf,0,0.0001
membersSequence,1,
message,0,0.0
mutable,0,0.0
next,0,0.0005
nextFrame,0,0.0
normalize,0,0.0
notifyParseResult,0,0.0005
open,0,0.0
operateAnyURIAnyURI,0,0.0001
operateBase64BinaryBase64Binary,0,0.0005
operateBooleanBoolean,0,0.0
operateDateDate,0,0.0001
operateDateDTDuration,0,0.0005
operateDatetimeDatetime,0,0.0
operateDatetimeDTDuration,0,0.0001
operateDatetimeYMDuration,0,0.0005
operateDateYMDuration,0,0.0
operateDecimal,0,0.0
operateDecimalDecimal,0,0.0
operateDecimalDouble,0,0.0
operateDecimalDTDuration,0,0.0001
operateDecimalFloat,0,0.0
operateDecimalInt,0,0.0
operateDecimalInteger,0,0.0
operateDecimalYMDuration,0,0.0
operateDouble,0,0.0001
operateDoubleDecimal,0,0.0
operateDoubleDouble,0,0.0
operateDoubleDTDuration,0,0.0001
operateDoubleFloat,0,0.0
operateDoubleInteger,0,0.0
operateDoubleYMDuration,0,0.0001
operateDTDurationDate,0,0.0001
operateDTDurationDatetime,0,0.0
operateDTDurationDecimal,0,0.0
operateDTDurationDouble,0,0.0001
operateDTDurationDTDuration,0,0.0
operateDTDurationDuration,0,0.0005
operateDTDurationFloat,0,0.0
operateDTDurationInteger,0,0.0
operateDTDurationTime,0,0.0
operateDTDurationYMDuration,0,0.0
operateDurationDTDuration,0,0.0
operateDurationDuration,0,0.0
operateDurationYMDuration,0,0.0001
operateFloat,0,0.0
operateFloatDecimal,0,0.0
operateFloatDouble,0,0.0
operateFloatDTDuration,0,0.0001
operateFloatFloat,0,0.0
operateFloatInteger,0,0.0
operateFloatYMDuration,0,0.0
operateGDayGDay,0,0.0
operateGMonthDayGMonthDay,0,0.0001
operateGMonthGMonth,0,0.0
operateGYearGYear,0,0.0005
operateGYearMonthGYearMonth,0,0.0
operateHexBinaryHexBinary,0,0.0
operateIntDecimal,0,0.0
operateInteger,0,0.0001
operateIntegerDecimal,0,0.0
operateIntegerDouble,0,0.0
operateIntegerDTDuration,0,0.0
operateIntegerFloat,0,0.0
operateIntegerInteger,0,0.0
operateIntegerYMDuration,0,0.0001
operateLongDecimal,0,0.0001
operateNotationNotation,0,0.0
operateQNameQName,0,0.0
operateStringString,0,0.0
operateTimeDTDuration,0,0.0
operateTimeTime,0,0.0001
operateYMDurationDate,0,0.0001
operateYMDurationDatetime,0,0.0005
operateYMDurationDecimal,0,0.0
operateYMDurationDouble,0,0.0
operateYMDurationDTDuration,0,0.0
operateYMDurationDuration,0,0.0
operateYMDurationFloat,0,0.0
operateYMDurationInteger,0,0.0
operateYMDurationYMDuration,0,0.0
org.apache.vxquery.cli.VXQuery,0,0.0
org.apache.vxquery.cli.VXQueryClusterShutdown,0,0.0
org.apache.vxquery.collations.CodepointCollation.Anonymous-6f0fa79d-be13-4822-8145-d663cd4d7605,1,
org.apache.vxquery.collations.CodepointCollation,0,0.0
org.apache.vxquery.collations.Collation,0,0.0
org.apache.vxquery.compiler.algebricks.prettyprint.VXQueryLogicalExpressionPrettyPrintVisitor,0,0.0
org.apache.vxquery.compiler.algebricks.VXQueryComparatorFactoryProvider.BinaryComparatorFactory,0,0.0
org.apache.vxquery.compiler.algebricks.VXQueryComparatorFactoryProvider,0,0.0
org.apache.vxquery.compiler.algebricks.VXQueryConstantValue,0,0.0
org.apache.vxquery.compiler.algebricks.VXQueryNullWriterFactory,0,0.0
org.apache.vxquery.compiler.algebricks.VXQueryPrinterFactory,0,0.0
org.apache.vxquery.compiler.algebricks.VXQueryPrinterFactoryProvider,0,0.0
org.apache.vxquery.compiler.CompilerControlBlock,0,0.0
org.apache.vxquery.compiler.rewriter.RewriteRuleset,0,0.0
org.apache.vxquery.compiler.rewriter.rules.AbstractRemoveRedundantTypeExpressionsRule,0,0.0
org.apache.vxquery.compiler.rewriter.rules.CollectionFileDomain,0,0.0
org.apache.vxquery.compiler.rewriter.rules.propagationpolicies.ConstantPropertyPropagationPolicy,0,0.0
org.apache.vxquery.compiler.rewriter.rules.propagationpolicies.InputPropertyPropagationPolicy,0,0.0
org.apache.vxquery.compiler.rewriter.rules.propagationpolicies.IPropertyPropagationPolicy,0,0.0
org.apache.vxquery.compiler.rewriter.rules.RemoveRedundantBooleanExpressionsRule,0,0.0
org.apache.vxquery.compiler.rewriter.rules.RemoveRedundantCastExpressionsRule,0,0.0
org.apache.vxquery.compiler.rewriter.rules.RemoveRedundantDataExpressionsRule,0,0.0
org.apache.vxquery.compiler.rewriter.rules.RemoveRedundantPromoteExpressionsRule,0,0.0
org.apache.vxquery.compiler.rewriter.rules.RemoveRedundantTreatExpressionsRule,0,0.0
org.apache.vxquery.compiler.rewriter.VXQueryOptimizationContext,0,0.0
org.apache.vxquery.context.DefaultDocumentURIResolverImpl,0,0.0005
org.apache.vxquery.context.DelegatingStaticContextImpl,0,0.0
org.apache.vxquery.context.DocumentURIResolver,0,0.0
org.apache.vxquery.context.DynamicContext,0,0.0001
org.apache.vxquery.context.DynamicContextImpl,0,0.0
org.apache.vxquery.context.IStaticContextFactory,0,0.0001
org.apache.vxquery.context.ModuleURIResolver,0,0.0
org.apache.vxquery.context.RootStaticContextFactory,0,0.0
org.apache.vxquery.context.RootStaticContextImpl,0,0.0
org.apache.vxquery.context.StaticContext,0,0.0
org.apache.vxquery.context.StaticContextImpl.Anonymous-0b2f5f88-06bc-4f55-be62-a1b205253333,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-101204b4-2fab-4eed-97f7-2a6c32102d23,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-1f7f8bfe-f84a-4614-8e3e-7b9d369035c9,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-4a3ff869-bea7-41bc-90c5-5524ded21c3f,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-566d2bcd-c248-4d9a-b85c-a4bc4d4dfef6,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-7c7adb63-99d9-440e-8c2c-9d6955286b9f,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-a2c352aa-9e79-456c-982b-914ffdf335c6,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-aa7d2db4-210f-4a54-b323-475a8dca1e91,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-af8ea186-da75-43a5-aa40-16364df1da1a,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-bca46ee5-f5b0-4bc3-9576-6b76f1f01520,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-ec2c8ae8-fe23-4495-9894-fead63ab35fd,1,
org.apache.vxquery.context.StaticContextImpl.Anonymous-edc7a7e1-b212-492f-998c-a5edc4628bbb,1,
org.apache.vxquery.context.StaticContextImpl.ConcatenatingIterator,0,0.0
org.apache.vxquery.context.StaticContextImpl,0,0.0
org.apache.vxquery.context.StaticContextImplFactory,0,0.0001
org.apache.vxquery.context.ThinStaticContextImpl,0,0.0001
org.apache.vxquery.context.ThinStaticContextImplFactory,0,0.0005
org.apache.vxquery.context.XQueryVariable,0,0.0
org.apache.vxquery.datamodel.AbstractPointableTest,0,0.0
org.apache.vxquery.datamodel.accessors.atomic.CodedQNamePointable,0,0.0001
org.apache.vxquery.datamodel.accessors.atomic.XSBinaryPointable,0,0.0
org.apache.vxquery.datamodel.accessors.atomic.XSDatePointable,0,0.0
org.apache.vxquery.datamodel.accessors.atomic.XSDateTimePointable,0,0.0
org.apache.vxquery.datamodel.accessors.atomic.XSDecimalPointable,0,0.0
org.apache.vxquery.datamodel.accessors.atomic.XSDurationPointable,0,0.0
org.apache.vxquery.datamodel.accessors.atomic.XSQNamePointable,0,0.0
org.apache.vxquery.datamodel.accessors.atomic.XSTimePointable,0,0.0
org.apache.vxquery.datamodel.accessors.jsonitem.ArrayPointable,0,0.0
org.apache.vxquery.datamodel.accessors.jsonitem.ObjectPointable,0,0.0
org.apache.vxquery.datamodel.accessors.nodes.AttributeNodePointable,0,0.0
org.apache.vxquery.datamodel.accessors.nodes.ElementNodePointable,0,0.0
org.apache.vxquery.datamodel.accessors.nodes.NodeTreePointable,0,0.0
org.apache.vxquery.datamodel.accessors.PointableCache,0,0.0
org.apache.vxquery.datamodel.accessors.PointablePool,0,0.0001
org.apache.vxquery.datamodel.accessors.PointablePoolFactory,0,0.0005
org.apache.vxquery.datamodel.accessors.SequencePointable,0,0.0
org.apache.vxquery.datamodel.accessors.TaggedValuePointable,0,0.0001
org.apache.vxquery.datamodel.api.IDate,0,0.0
org.apache.vxquery.datamodel.api.ITime,0,0.0
org.apache.vxquery.datamodel.api.ITimezone,0,0.0
org.apache.vxquery.datamodel.ArrayByteTest,0,0.0
org.apache.vxquery.datamodel.builders.atomic.StringValueBuilder,0,0.0001
org.apache.vxquery.datamodel.builders.atomic.UTF8StringBuilder,0,0.0
org.apache.vxquery.datamodel.builders.base.AbstractBuilder,0,0.0
org.apache.vxquery.datamodel.builders.base.IBuilder,0,0.0
org.apache.vxquery.datamodel.builders.base.IValueBuilder,0,0.0
org.apache.vxquery.datamodel.builders.jsonitem.AbstractJsonBuilder,0,0.0
org.apache.vxquery.datamodel.builders.jsonitem.ArrayBuilder,0,0.0
org.apache.vxquery.datamodel.builders.jsonitem.ObjectBuilder,0,0.0001
org.apache.vxquery.datamodel.builders.nodes.AttributeNodeBuilder,0,0.0
org.apache.vxquery.datamodel.builders.nodes.CommentNodeBuilder,0,0.0
org.apache.vxquery.datamodel.builders.nodes.DictionaryBuilder,0,0.0001
org.apache.vxquery.datamodel.builders.nodes.DocumentNodeBuilder,0,0.0
org.apache.vxquery.datamodel.builders.nodes.ElementNodeBuilder,0,0.0
org.apache.vxquery.datamodel.builders.nodes.NodeSubTreeBuilder,0,0.0
org.apache.vxquery.datamodel.builders.nodes.PINodeBuilder,0,0.0
org.apache.vxquery.datamodel.builders.nodes.TextNodeBuilder,0,0.0001
org.apache.vxquery.datamodel.builders.sequence.SequenceBuilder,0,0.0
org.apache.vxquery.datamodel.ObjectByteTest,0,0.0
org.apache.vxquery.datamodel.SequenceByteTest,0,0.0
org.apache.vxquery.datamodel.util.DateTime,0,0.0
org.apache.vxquery.datamodel.values.ValueTag,0,0.0
org.apache.vxquery.exceptions.DefaultSystemExceptionFactory,0,0.0
org.apache.vxquery.exceptions.ErrorCode,0,0.0
org.apache.vxquery.exceptions.ErrorReporter,0,0.0001
org.apache.vxquery.exceptions.SystemException,0,0.0
org.apache.vxquery.exceptions.SystemExceptionFactory,0,0.0
org.apache.vxquery.exceptions.VXQueryDataException,0,0.0001
org.apache.vxquery.exceptions.WarningReporter,0,0.0
org.apache.vxquery.functions.BuiltinFunction,0,0.0
org.apache.vxquery.functions.ExternalFunction,0,0.0
org.apache.vxquery.functions.Function,0,0.0
org.apache.vxquery.functions.Operator,0,0.0005
org.apache.vxquery.functions.Signature,0,0.0
org.apache.vxquery.functions.UserDefinedXQueryFunction,0,0.0
org.apache.vxquery.hdfs2.HDFSFunctions,0,0.0
org.apache.vxquery.hdfs2.XmlCollectionWithTagInputFormat.XmlRecordReader,0,0.0
org.apache.vxquery.index.IndexAttributes,0,0.0
org.apache.vxquery.index.IndexDocumentBuilder,0,0.0
org.apache.vxquery.index.IndexElement,0,0.0
org.apache.vxquery.metadata.QueryResultDataSink,0,0.0
org.apache.vxquery.metadata.QueryResultSetDataSink,0,0.0
org.apache.vxquery.metadata.VXQueryCollectionDataSource,0,0.0
org.apache.vxquery.metadata.VXQueryIOFileFilter,0,0.0
org.apache.vxquery.metadata.VXQueryMetadataProvider,0,0.0
org.apache.vxquery.runtime.factory.hashfunction.VXQueryRawBinaryHashFunctionFactory,0,0.0
org.apache.vxquery.runtime.functions.aggregate.AbstractMaxMinAggregateEvaluatorFactory,0,0.0001
org.apache.vxquery.runtime.functions.aggregate.AbstractMaxMinScalarEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.aggregate.FnMaxAggregateEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.aggregate.FnMaxScalarEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.aggregate.FnMinAggregateEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.aggregate.FnMinScalarEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.arithmetic.AbstractArithmeticScalarEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.arithmetic.AddScalarEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.arithmetic.DivideScalarEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.arithmetic.IntegerDivideScalarEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.arithmetic.ModScalarEvaluatorFactory,0,0.0
org.apache.vxquery.runtime.functions.arithmetic.MultiplyScalarEvaluatorFactory,0,0.0001
