file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\MainActivity.java,org.chromium.latency.walt.MainActivity$Anonymous1,run/0,false,97,1,17,0,17,2,2,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\DragLatencyFragment.java,org.chromium.latency.walt.DragLatencyFragment$Anonymous1,"onReceive/2[org.chromium.latency.walt.Context,org.chromium.latency.walt.Intent]",false,55,3,10,0,10,1,2,4,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\DragLatencyFragment.java,org.chromium.latency.walt.DragLatencyFragment$Anonymous2,"onTouch/2[org.chromium.latency.walt.View,org.chromium.latency.walt.MotionEvent]",false,63,4,9,0,9,2,4,13,1,5,2,4,0,0,1,0,0,0,0,2,6,1,1,0,0,0,19,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\DragLatencyFragment.java,org.chromium.latency.walt.DragLatencyFragment$Anonymous3,"onReceive/2[org.chromium.latency.walt.Context,org.chromium.latency.walt.Intent]",false,288,6,10,0,10,1,6,7,0,2,2,6,0,0,0,0,0,0,2,0,2,1,0,0,0,0,10,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\MidiFragment.java,org.chromium.latency.walt.MidiFragment$Anonymous2,"onReceive/2[org.chromium.latency.walt.Context,org.chromium.latency.walt.Intent]",false,147,2,10,0,10,1,2,4,0,1,2,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,5,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\MidiFragment.java,org.chromium.latency.walt.MidiFragment$Anonymous3,"onReceive/2[org.chromium.latency.walt.Context,org.chromium.latency.walt.Intent]",false,165,6,10,0,10,2,6,11,1,3,2,6,0,0,0,1,0,1,2,2,4,3,1,0,0,0,16,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\MidiFragment.java,org.chromium.latency.walt.MidiFragment$Anonymous1,onDeviceOpened/1[org.chromium.latency.walt.MidiDevice],false,88,2,1,0,1,2,1,9,0,0,1,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,14,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\MidiFragment.java,org.chromium.latency.walt.MidiFragment$Anonymous6,run/0,false,244,2,17,0,17,2,4,12,0,3,0,4,0,0,0,1,0,3,2,4,3,7,1,0,0,0,18,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\MainActivity.java,org.chromium.latency.walt.MainActivity$LoggingExceptionHandler,"uncaughtException/2[java.lang.Thread,java.lang.Throwable]",false,66,2,0,0,0,1,6,10,0,3,2,6,0,0,0,0,0,0,2,1,3,1,0,0,0,0,16,1,0,false
C:\opt\GraphEvoPRV2\projects\walt\walt-2-15\google-walt-f8c5c83\android\WALT\app\src\main\java\org\chromium\latency\walt\MidiFragment.java,org.chromium.latency.walt.MidiFragment$Anonymous4,run/0,false,206,2,17,0,17,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,false
