file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\ClockManager.java,org.chromium.latency.walt.ClockManager$TriggerListener,innerclass,4,4,0,4,10,1,0,5,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,3,3,1,1,1,0,1,1,0,0,28,2,1,3,0,0,1,5,8,2,5,3,0,0,0,25,2,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\ClockManager.java,org.chromium.latency.walt.ClockManager$TriggerHandler$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\programmer\BootloaderConnection.java,org.chromium.latency.walt.programmer.BootloaderConnection,class,6,9,3,6,14,2,0,9,28,0.875,0.0,0.0,8,1,7,1,0,0,7,0,0,0,4,4,0,4,0,0,3,0,1,52,4,1,1,1,0,2,11,8,0,7,2,0,0,0,44,0,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\NumberPickerPreference.java,org.chromium.latency.walt.NumberPickerPreference,class,6,9,3,6,6,3,0,10,4,0.73333335,0.0,0.0,5,0,3,0,2,0,5,0,0,0,6,3,0,6,0,0,3,0,0,80,2,0,0,1,0,0,3,7,0,7,1,0,1,0,45,1,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\programmer\Programmer.java,org.chromium.latency.walt.programmer.Programmer,class,5,6,1,5,4,1,0,10,0,0.41666666,0.0,0.0,2,0,2,0,0,0,2,0,0,0,6,1,0,6,0,0,1,0,2,49,0,0,0,1,0,3,0,7,0,7,1,1,0,0,30,1,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\MidiFragment.java,org.chromium.latency.walt.MidiFragment$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,1,1,0,0,0,0,6,-1,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\AudioTest.java,org.chromium.latency.walt.AudioTest$Anonymous1,anonymous,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,2,2,2,3,5,3,0,0,0,0,20,-1,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\AudioTest.java,org.chromium.latency.walt.AudioTest$Anonymous2,anonymous,3,3,0,3,7,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,39,4,0,2,2,1,5,5,3,6,2,2,0,0,0,31,-1,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\SimpleLogger.java,org.chromium.latency.walt.SimpleLogger,class,6,44,38,6,9,1,0,10,3,0.7142858,0.0,0.0,7,1,6,1,0,0,6,0,0,0,6,4,1,5,0,0,3,0,0,41,2,0,2,0,0,3,0,8,0,7,2,0,0,0,65,1,0
C:\opt\GraphEvoPRV2\projects\walt\walt-20-47\google-walt-0adecfe\android\WALT\app\src\main\java\org\chromium\latency\walt\TapLatencyFragment.java,org.chromium.latency.walt.TapLatencyFragment$Anonymous1,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,6,-1,0
