class_name,new,portrait
addEntry,0,0.0002
addView,0,0.0002
afterTextChanged,0,0.0002
beforeTextChanged,0,0.0002
checkTapSanity,0,0.0002
connect,0,0.0002
doFrame,0,0.0002
doTest,0,0.0002
flush,0,0.0002
getBooleanPreference,0,0.0002
getEventTimeMicro,0,0.0051
getFormattedValue,0,0.0002
getHistoricalEventTimeMicro,0,0.0002
getInstance,0,0.0002
getIntPreference,0,0.0002
groupBars,0,0.0002
initEditText,0,0.0002
isCompatibleUsbDevice,0,0.0002
onBackStackChanged,0,0.0002
onBindDialogView,0,0.0003
onClick,0,0.0002
onClickAudio,0,0.0002
onClickCheckDrift,0,0.0002
onClickClockSync,0,0.0275
onClickDragLatency,0,0.0003
onClickMIDI,0,0.0002
onClickOpenAbout,0,0.0002
onClickOpenLog,0,0.0002
onClickOpenSettings,0,0.0002
onClickPing,0,0.0002
onClickProgram,0,0.0002
onClickReconnect,0,0.0002
onClickScreenResponse,0,0.0002
onClickStartListener,0,0.0002
onClickSync,0,0.0002
onClickTapLatency,0,0.0002
onConnect,0,0.0002
onCreate,0,0.0002
onCreateOptionsMenu,0,0.0002
onCreatePreferences,0,0.0002
onCreateView,0,0.0002
onDeviceOpened,0,0.0002
onDisconnect,0,0.0002
onDisplayPreferenceDialog,0,0.0002
onDraw,0,0.0275
onGetDefaultValue,0,0.0002
onNewIntent,0,0.0002
onOptionsItemSelected,0,0.0002
onPreferenceStartScreen,0,0.0002
onReceive,0,0.0002
onReceiveRaw,0,0.0002
onSaveInstanceState,0,0.0002
onTextChanged,0,0.0002
onTouch,0,0.0002
onViewCreated,0,0.0002
org.chromium.latency.walt.AboutFragment,0,0.0002
org.chromium.latency.walt.AudioFragment,0,0.0002
org.chromium.latency.walt.AudioTest.Anonymous-119f1d87-6816-4ccf-9194-2a443b347348,1,
org.chromium.latency.walt.AudioTest.Anonymous-60f2b992-8a00-4792-9b44-e0564864df0d,1,
org.chromium.latency.walt.AudioTest.Anonymous-b4c26b17-3275-4442-b17d-9a060fddd663,1,
org.chromium.latency.walt.AudioTest.Anonymous-f59cf244-db8b-4e3a-8891-9f59445d3fcf,1,
org.chromium.latency.walt.AudioTest,0,0.0002
org.chromium.latency.walt.AutoRunFragment.Anonymous-162df9ff-8f39-4f13-a222-dba2674e69c8,1,
org.chromium.latency.walt.AutoRunFragment.Anonymous-2f49c239-4d55-41ff-8335-fab7159eaae0,1,
org.chromium.latency.walt.AutoRunFragment.Anonymous-8f7bcbb7-f5c7-4835-ad54-9607227351b5,1,
org.chromium.latency.walt.AutoRunFragment.Anonymous-bb5a142b-843b-44f0-b53f-3260a5fe15d8,1,
org.chromium.latency.walt.AutoRunFragment.AudioResultHandler,0,0.0002
org.chromium.latency.walt.AutoRunFragment.ResultHandler,0,0.0002
org.chromium.latency.walt.AutoRunFragment,0,0.0002
org.chromium.latency.walt.BaseTest.TestStateListener,0,0.0002
org.chromium.latency.walt.BaseTest,0,0.0002
org.chromium.latency.walt.BaseUsbConnection,0,0.0002
org.chromium.latency.walt.DiagnosticsFragment,0,0.0275
org.chromium.latency.walt.DragLatencyFragment,0,0.005
org.chromium.latency.walt.HistogramChart.HistogramData,0,0.0003
org.chromium.latency.walt.HistogramChart,0,0.0002
org.chromium.latency.walt.HistogramChartTest,0,0.0003
org.chromium.latency.walt.LogFragment,0,0.0003
org.chromium.latency.walt.MainActivity.Anonymous-c99b93e1-2c67-400a-b37d-a18af2d5d0a7,1,
org.chromium.latency.walt.MainActivity.LoggingExceptionHandler,0,0.0002
org.chromium.latency.walt.MainActivity,0,0.0025
org.chromium.latency.walt.MidiFragment,0,0.0051
org.chromium.latency.walt.MidiTest.Anonymous-3fb58c19-2c91-4aa4-a910-98aed1860d68,1,
org.chromium.latency.walt.MidiTest.Anonymous-4a6bc911-b06f-448d-9b4f-72181d3216ad,1,
org.chromium.latency.walt.MidiTest.Anonymous-8bab6188-a48f-4df0-b94f-9fa1f32f28c5,1,
org.chromium.latency.walt.MidiTest.Anonymous-d3ed8280-bcc9-484a-8a69-03c8582b15d4,1,
org.chromium.latency.walt.MidiTest.Anonymous-f0b82d5e-808c-41c8-bb0c-ea8c2cd573ab,1,
org.chromium.latency.walt.MidiTest,0,0.0002
org.chromium.latency.walt.MidiTest.WaltReceiver.Anonymous-b0cfc7b5-5f92-4ff5-9ba8-303f82596147,1,
org.chromium.latency.walt.MidiTest.WaltReceiver,0,0.0002
org.chromium.latency.walt.NumberPickerPreference.NumberPickerPreferenceDialogFragmentCompat,0,0.0003
org.chromium.latency.walt.NumberPickerPreference,0,0.0002
org.chromium.latency.walt.programmer.BootloaderConnection,0,0.005
org.chromium.latency.walt.programmer.FirmwareImage,0,0.0002
org.chromium.latency.walt.programmer.Programmer.Anonymous-6d9dd962-d9c7-4f35-ba0e-51e251636830,1,
org.chromium.latency.walt.programmer.Programmer,0,0.0002
org.chromium.latency.walt.RemoteClockInfo,0,0.0003
org.chromium.latency.walt.ScreenResponseFragment.Anonymous-0bcd30e5-da4c-4cae-9b4d-7bcdf4cea8ba,1,
org.chromium.latency.walt.ScreenResponseFragment.Anonymous-3d264296-cddc-48e2-840c-d56689a94741,1,
org.chromium.latency.walt.ScreenResponseFragment.Anonymous-773c5ef0-e5b9-4d93-914f-122bce59379f,1,
org.chromium.latency.walt.ScreenResponseFragment.Anonymous-7cfd7426-9656-4e40-ab67-f1c212874691,1,
org.chromium.latency.walt.ScreenResponseFragment.Anonymous-dbdeb70b-79bb-4553-8fbc-d72f73015d1e,1,
org.chromium.latency.walt.ScreenResponseFragment,0,0.0004
org.chromium.latency.walt.SettingsFragment,0,0.0002
org.chromium.latency.walt.SimpleLogger,0,0.0002
org.chromium.latency.walt.TapLatencyFragment,0,0.0002
org.chromium.latency.walt.TouchCatcherView,0,0.0002
org.chromium.latency.walt.TraceLogger,0,0.0002
org.chromium.latency.walt.TraceLoggerTest,0,0.0002
org.chromium.latency.walt.UsMotionEvent,0,0.0002
org.chromium.latency.walt.Utils,0,0.0002
org.chromium.latency.walt.UtilsTest,0,0.0002
org.chromium.latency.walt.WaltConnection.ConnectionStateListener,0,0.0002
org.chromium.latency.walt.WaltConnection,0,0.0275
org.chromium.latency.walt.WaltDevice.TriggerHandler.Anonymous-da50ac6a-f64d-4288-9589-f8995ba25384,1,
org.chromium.latency.walt.WaltDevice.TriggerHandler,0,0.0475
org.chromium.latency.walt.WaltDevice.TriggerListener,0,0.0051
org.chromium.latency.walt.WaltDevice.TriggerMessage,0,0.0002
org.chromium.latency.walt.WaltDevice,0,0.0003
org.chromium.latency.walt.WaltTcpConnection.Anonymous-3d2f4c67-3827-4629-bb28-612072b71e5f,1,
org.chromium.latency.walt.WaltTcpConnection.Anonymous-4d617138-e1b0-4635-bbea-05d7df794c12,1,
org.chromium.latency.walt.WaltTcpConnection.Anonymous-8291c083-912e-427c-a22b-4b527500fd26,1,
org.chromium.latency.walt.WaltTcpConnection.ProbeThread,0,0.0275
org.chromium.latency.walt.WaltTcpConnection,0,0.0003
